time,run_id,model,features,seed,local_score,public_score,submission,notes
2026-05-01T20:00:00,lgbm_adv_weighted_f5_s42,lightgbm,50_numeric_without_id+adv_weights,42,0.9287215352,0.68887,upload_ready_recommended/r00_uploaded_lgbm_adv_weighted.csv,"first uploaded model; public score from user; random CV is over-optimistic"
2026-05-01T20:10:00,lgbm_base_f5_s42,lightgbm,50_numeric_without_id,42,0.9296851169,,,"plain LightGBM single model"
2026-05-01T20:20:00,xgb_base_f5_s42,xgboost,50_numeric_without_id,42,0.9295233752,,,"plain XGBoost single model"
2026-05-01T20:25:00,blend_lgbm_base_0p8_xgb_base_0p2,probability_blend,lgbm_base_f5_s42+xgb_base_f5_s42,42,0.9299373241,,upload_ready_recommended/r02_blend_raw_xgb.csv,"old candidate 2 with short upload-safe name"
2026-05-01T20:27:00,blend_lgbm_adv_0p5_lgbm_base_0p5,probability_blend,lgbm_adv_weighted_f5_s42+lgbm_base_f5_s42,42,0.9298163752,,submissions/submission_lgbm_adv_0p5_lgbm_base_0p5.csv,"blend of domain-weighted and plain lgbm"
2026-05-01T20:28:00,blend_lgbm_adv_0p8_xgb_base_0p2,probability_blend,lgbm_adv_weighted_f5_s42+xgb_base_f5_s42,42,0.9295736875,,submissions/submission_lgbm_adv_0p8_xgb_base_0p2.csv,"blend of domain-weighted lgbm and xgb"
2026-05-01T22:20:00,lgbm_base_split_standard_f5_s42,lightgbm,split_standard_50_numeric_without_id,42,0.9298942313,,upload_ready_recommended/r05_lgbm_split_standard.csv,"train/test separately standardized candidate"
2026-05-01T22:40:00,lgbm_base_coral_f5_s42,lightgbm,coral_50_numeric_without_id,42,0.9201414219,,,"CORAL alignment single model; weak alone, used as small blend component"
2026-05-01T22:45:00,blend_raw_std_xgb_coral_40_30_20_10,probability_blend,raw_lgbm+split_standard_lgbm+xgb+coral_lgbm,42,0.9305210251,,upload_ready_recommended/r01_blend_raw_std_xgb_coral.csv,"current recommended first candidate"
2026-05-01T22:50:00,blend_raw_xgb_soft_uniform,probability_blend+soft_prior,lgbm_base_f5_s42+xgb_base_f5_s42,42,proxy_q5=0.8957709523,,upload_ready_recommended/r03_blend_raw_xgb_soft_uniform.csv,"soft uniform prior; proxy validation slightly improves over uncalibrated plain blend"
2026-05-01T22:52:00,blend_adv_xgb_soft_uniform,probability_blend+soft_prior,lgbm_adv_weighted_f5_s42+xgb_base_f5_s42,42,proxy_q5=0.8960037694,,upload_ready_recommended/r04_blend_adv_xgb_soft_uniform.csv,"domain-weighted blend with soft uniform prior"
2026-05-02T00:10:00,lgbm_base_combined_rank_n700_f5_s42,lightgbm,combined_rank_50_numeric_without_id,42,0.9295035262,,,"joint train/test rank transform; used as diversity model"
2026-05-02T00:12:00,lgbm_base_cw_balanced_n700_f5_s42,lightgbm,50_numeric_without_id+class_weight_balanced,42,0.9298961815,,,"class-balanced LightGBM; increases minority-class tendency"
2026-05-02T00:14:00,xgb_base_cw_balanced_f5_s42,xgboost,50_numeric_without_id+class_weight_balanced,42,0.9294382613,,,"class-balanced XGBoost"
2026-05-02T00:18:00,mlp_standard_f5_s42,sklearn_mlp,50_numeric_without_id,42,0.8620916269,,,"weak neural net baseline; only useful as tiny-weight diversity"
