split,prob_mode,alpha,quota_mode,expected_macro_f1,expected_per_class_f1,actual_macro_f1_mean,actual_macro_f1_std,quota
ratio_prefix,valid_oracle,0.01,none,0.776307441854653,"{'0': 0.8631670697142713, '1': 0.8284785454068873, '2': 0.6372767104428004}",0.7755913892196693,0.0011945664479474142,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,valid_oracle,0.2,none,0.776307441854653,"{'0': 0.8631670697142713, '1': 0.8284785454068873, '2': 0.6372767104428004}",0.7755913892196693,0.0011945664479474142,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,valid_oracle,1.0,none,0.771484587515974,"{'0': 0.8608799721647105, '1': 0.8254465996256357, '2': 0.6281271907575761}",0.7707874415059828,0.0012548675138114856,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,valid_oracle,5.0,none,0.6834091771737124,"{'0': 0.8111384225382238, '1': 0.7025255799464747, '2': 0.5365635290364387}",0.6827098169052149,0.001637596631629779,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_all,0.01,none,0.6136662236009773,"{'0': 0.7370285420186057, '1': 0.6853203090752199, '2': 0.4186498197091065}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_all,0.2,none,0.6130836858251308,"{'0': 0.736792456507602, '1': 0.6835442105326333, '2': 0.41891439043515716}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_all,1.0,none,0.606236986451809,"{'0': 0.7328265238514374, '1': 0.6730657374647615, '2': 0.412818698039228}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_all,5.0,none,0.5844692518709036,"{'0': 0.7152670445799573, '1': 0.6412719122291102, '2': 0.39686879880364323}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_front_half,0.01,none,0.6614597743753979,"{'0': 0.74951864537882, '1': 0.7789425579261545, '2': 0.45591811982121927}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_front_half,0.2,none,0.6600628367388377,"{'0': 0.7488339874354928, '1': 0.7758263905768376, '2': 0.455528132204183}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_front_half,1.0,none,0.6470730937581405,"{'0': 0.7416161305603521, '1': 0.7533952622133262, '2': 0.4462078885007432}",,,"{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,fit_front_half,5.0,none,0.6066977069871237,"{'0': 0.7165724139644443, '1': 0.6880416308760285, '2': 0.41547907612089824}",,,"{'0': 8802, '1': 2088, '2': 2693}"
actual_prefix,valid_oracle,0.01,none,0.7578245790215732,"{'0': 0.8562409918042033, '1': 0.8303527559523689, '2': 0.5868799893081476}",0.7572743290992794,0.002426982075115608,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,valid_oracle,0.2,none,0.7578245790215732,"{'0': 0.8562409918042033, '1': 0.8303527559523689, '2': 0.5868799893081476}",0.7572743290992794,0.002426982075115608,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,valid_oracle,1.0,none,0.7560267914476592,"{'0': 0.8554473168680907, '1': 0.8291932858642558, '2': 0.5834397716106305}",0.7554715505900537,0.002431235837255173,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,valid_oracle,5.0,none,0.6706972810432296,"{'0': 0.8083402143272381, '1': 0.6992134220339565, '2': 0.5045382067684938}",0.6700278909554069,0.002430452257854725,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_all,0.01,none,0.5873627237972667,"{'0': 0.708601186745268, '1': 0.6515886695340632, '2': 0.4018983151124691}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_all,0.2,none,0.5864841476827407,"{'0': 0.708051178277999, '1': 0.6495449099948627, '2': 0.40185635477536047}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_all,1.0,none,0.5788396769464311,"{'0': 0.7036493425300661, '1': 0.6367095036328526, '2': 0.3961601846763748}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_all,5.0,none,0.5562707308410678,"{'0': 0.6871524629875054, '1': 0.6007628313184936, '2': 0.3808968982172045}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_front_half,0.01,none,0.6414712409048969,"{'0': 0.7270138143744616, '1': 0.7606777260763176, '2': 0.4367221822639116}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_front_half,0.2,none,0.6397658111018373,"{'0': 0.7260596545731973, '1': 0.7565147472511741, '2': 0.4367230314811404}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_front_half,1.0,none,0.6234455544292195,"{'0': 0.7177864834438844, '1': 0.7260734123090076, '2': 0.4264767675347662}",,,"{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,fit_front_half,5.0,none,0.5816674190392948,"{'0': 0.6938900908617214, '1': 0.6529726664502783, '2': 0.3981394998058848}",,,"{'0': 11854, '1': 2500, '2': 3500}"
middle_ratio,valid_oracle,0.01,none,0.7651439044193569,"{'0': 0.8591211519873507, '1': 0.8313402200458887, '2': 0.6049703412248313}",0.7661954447655134,0.0029211736908752103,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,valid_oracle,0.2,none,0.7651439044193569,"{'0': 0.8591211519873507, '1': 0.8313402200458887, '2': 0.6049703412248313}",0.7661954447655134,0.0029211736908752103,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,valid_oracle,1.0,none,0.7616363791810462,"{'0': 0.8574809995644068, '1': 0.8286515551507072, '2': 0.5987765828280247}",0.7626618577070834,0.0028752425853244053,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,valid_oracle,5.0,none,0.6733475062362301,"{'0': 0.8075349710036024, '1': 0.7022110214049362, '2': 0.5102965263001518}",0.6746869550524135,0.001984079529950775,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_all,0.01,none,0.5948502174873722,"{'0': 0.7073068135530578, '1': 0.6628083236547337, '2': 0.41443551525432504}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_all,0.2,none,0.5945002415375861,"{'0': 0.7074763105812684, '1': 0.6619639433599238, '2': 0.4140604706715662}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_all,1.0,none,0.5900158137459758,"{'0': 0.7068228612132977, '1': 0.6554858688871399, '2': 0.40773871113748994}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_all,5.0,none,0.5692317681971159,"{'0': 0.6951837646828439, '1': 0.6226089331220178, '2': 0.38990260678648575}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_front_half,0.01,none,0.6489171585041827,"{'0': 0.7280399026947374, '1': 0.7727713227995903, '2': 0.4459402500182206}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_front_half,0.2,none,0.6477286837420301,"{'0': 0.7275415083709099, '1': 0.770678949605428, '2': 0.444965593249752}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_front_half,1.0,none,0.6345966323324423,"{'0': 0.7220438332594655, '1': 0.7466342968813346, '2': 0.4351117668565269}",,,"{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,fit_front_half,5.0,none,0.5930310204070127,"{'0': 0.7007362748076317, '1': 0.6739045729033092, '2': 0.40445221351009725}",,,"{'0': 8802, '1': 2088, '2': 2693}"
