split,variant,alpha_seed,gamma,knn,prop_alpha,macro_f1,per_class_f1,counts
ratio_prefix,raw,0.1,0.7,20,0.5,0.744669146091232,"{'0': 0.8482050098118434, '1': 0.846326073682068, '2': 0.5394763547797848}","{'0': 8524, '1': 2825, '2': 2234}"
ratio_prefix,quota,0.1,0.7,20,0.5,0.7266100351536937,"{'0': 0.8528743467393775, '1': 0.8041187739463601, '2': 0.5228369847753435}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,20,0.75,0.747348883214977,"{'0': 0.8461761802450497, '1': 0.8480392156862745, '2': 0.5478312537136066}","{'0': 8419, '1': 2808, '2': 2356}"
ratio_prefix,quota,0.1,0.7,20,0.75,0.7290986944147807,"{'0': 0.8501476937059759, '1': 0.8065134099616859, '2': 0.5306349795766803}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,20,0.9,0.7457600671244494,"{'0': 0.8443357783211084, '1': 0.8473469387755102, '2': 0.5455974842767296}","{'0': 8376, '1': 2812, '2': 2395}"
ratio_prefix,quota,0.1,0.7,20,0.9,0.7238100208582906,"{'0': 0.8457168825266985, '1': 0.7969348659003831, '2': 0.5287783141477905}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,50,0.5,0.7440155025362247,"{'0': 0.848495330335524, '1': 0.8463106400326131, '2': 0.5372405372405372}","{'0': 8544, '1': 2818, '2': 2221}"
ratio_prefix,quota,0.1,0.7,50,0.5,0.7257611271634961,"{'0': 0.8536696205407862, '1': 0.8041187739463601, '2': 0.519494987003342}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,50,0.75,0.7468913863207575,"{'0': 0.8464792813677195, '1': 0.8485591661557327, '2': 0.5456357114388203}","{'0': 8453, '1': 2805, '2': 2325}"
ratio_prefix,quota,0.1,0.7,50,0.75,0.7230440821786331,"{'0': 0.8487843671892752, '1': 0.7945402298850575, '2': 0.525807649461567}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,50,0.9,0.7469811743209732,"{'0': 0.8454830833623997, '1': 0.8482124616956077, '2': 0.5472479779049122}","{'0': 8400, '1': 2807, '2': 2376}"
ratio_prefix,quota,0.1,0.7,50,0.9,0.727253502491315,"{'0': 0.8484435355601, '1': 0.8026819923371648, '2': 0.5306349795766803}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,0.1,0.7,120,0.5,0.7441392516726318,"{'0': 0.8493213710605015, '1': 0.847001223990208, '2': 0.5360951599671863}","{'0': 8586, '1': 2814, '2': 2183}"
ratio_prefix,quota,0.1,0.7,120,0.5,0.7285715422175087,"{'0': 0.856509884117246, '1': 0.810823754789272, '2': 0.5183809877460082}","{'0': 8802, '1': 2088, '2': 2693}"
