split,variant,n_bins,degree,alpha,trend_weight,front_weight,macro_f1,per_class_f1,counts
small_prefix,raw,4,0,0.5,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,0.5,0.0,1.0,0.7583321605234534,"{'0': 0.7985940246045694, '1': 0.9046679815910585, '2': 0.5717344753747323}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,0.5,0.25,0.75,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,0.5,0.25,0.75,0.7713497264348224,"{'0': 0.81195079086116, '1': 0.9046679815910585, '2': 0.5974304068522484}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,0.5,0.5,0.5,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,0.5,0.5,0.5,0.7676816627410927,"{'0': 0.8080843585237258, '1': 0.9046679815910585, '2': 0.5902926481084939}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,0.5,0.75,0.25,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,0.5,0.75,0.25,0.7673265728333485,"{'0': 0.8077328646748682, '1': 0.9046679815910585, '2': 0.5895788722341185}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,0.5,1.0,0.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,0.5,1.0,0.0,0.7673265728333485,"{'0': 0.8077328646748682, '1': 0.9046679815910585, '2': 0.5895788722341185}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,3.0,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,3.0,0.0,1.0,0.7627104040326717,"{'0': 0.8031634446397188, '1': 0.9046679815910585, '2': 0.5802997858672377}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,3.0,0.25,0.75,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,3.0,0.25,0.75,0.7657890485860851,"{'0': 0.8059753954305799, '1': 0.9046679815910585, '2': 0.5867237687366167}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,3.0,0.5,0.5,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,3.0,0.5,0.5,0.7650788687705964,"{'0': 0.8052724077328647, '1': 0.9046679815910585, '2': 0.5852962169878658}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,3.0,0.75,0.25,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,3.0,0.75,0.25,0.7650788687705964,"{'0': 0.8052724077328647, '1': 0.9046679815910585, '2': 0.5852962169878658}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,3.0,1.0,0.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,3.0,1.0,0.0,0.7668543183093183,"{'0': 0.8070298769771529, '1': 0.9046679815910585, '2': 0.588865096359743}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,15.0,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,15.0,0.0,1.0,0.7620002242171829,"{'0': 0.8024604569420035, '1': 0.9046679815910585, '2': 0.5788722341184868}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,0,15.0,0.25,0.75,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,0,15.0,0.25,0.75,0.7564359503095589,"{'0': 0.7971880492091389, '1': 0.9046679815910585, '2': 0.5674518201284796}","{'0': 2845, '1': 1521, '2': 1401}"
