ensemble,members,alpha_exact,weight_0,weight_1,weight_2,macro_f1,weighted_f1,pred_count_0,pred_count_1,pred_count_2
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.15,1.0,0.7550878798452813,0.7715343518209794,25318,12762,9985
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.25,1.15,0.7550590231811247,0.7709613262286527,24946,12783,10336
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,0.9,1.0,0.7550429616735795,0.7714477639878029,25355,12598,10112
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.2,1.15,0.754984176686242,0.7708955535416389,24954,12750,10361
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.15,1.1,0.7549797092702719,0.7708068641731547,24909,12758,10398
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.25,1.0,0.7549680417184125,0.7714130441924559,25296,12800,9969
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,0.95,1.0,0.7549398484326225,0.7713910247559125,25342,12641,10082
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.15,1.15,0.7549363475213661,0.7708600546683634,24957,12717,10391
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.1,1.0,0.7549331953812475,0.7714115979832076,25323,12728,10014
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.05,1.15,0.7549155985492851,0.7708314351431491,24965,12668,10432
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.1,1.1,0.7549109196311609,0.7707509709878125,24913,12724,10428
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.95,1.25,0.7548929622415286,0.7703506898946744,24843,12549,10673
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.05,1.1,0.7548842755933708,0.7707247784246287,24917,12677,10471
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.2,1.1,0.7548715354516028,0.7707178277587863,24899,12778,10388
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.25,1.1,0.7548647077061131,0.7708575631100284,25000,12796,10269
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.95,1.15,0.7548620235203424,0.7707505170404905,25028,12565,10472
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,0.85,1.0,0.754858067393628,0.7712910478901588,25404,12529,10132
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.1,1.15,0.7548577705056364,0.7708021185785634,24960,12684,10421
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.25,1.1,0.7548400212568719,0.7706408991916508,24880,12823,10362
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.2,1.0,0.7548394982919301,0.7713015384952329,25299,12791,9975
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.05,1.2,0.7548388916123286,0.7703299298366095,24758,12661,10646
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.0,1.0,0.7548334674781548,0.7713087733681311,25338,12652,10075
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,0.8,1.0,0.7548287070883548,0.7712690782462275,25420,12496,10149
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.9,1.2,0.7548256834997368,0.7706154859856638,25025,12528,10512
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,0.95,1.1,0.7548189795306744,0.770799628810867,25054,12600,10411
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.75,1.25,0.7548157257241107,0.7703340174534541,24948,12392,10725
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.0,1.1,0.754814194247358,0.770669415958663,24917,12664,10484
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.05,1.0,0.7548134921023073,0.7713635542322186,25393,12751,9921
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.3,1.0,1.05,1.0,0.7548099496733885,0.7713034879694568,25327,12690,10048
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.85,1.25,0.7548062774230534,0.770291612837312,24892,12483,10690
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.95,1.1,0.754801943182215,0.7706226986169328,24934,12625,10506
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.1,1.25,0.7547879209496866,0.7703115133291516,24761,12675,10629
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.15,1.0,0.7547791526167744,0.7713356882245544,25385,12797,9883
