split,source_mode,config,alpha,variant,macro_f1,per_class_f1,counts
ratio_prefix,all,single,0.5,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,all,single,0.5,quota,0.637129878576233,"{'0': 0.777550556691661, '1': 0.6949233716475096, '2': 0.4389157073895284}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,all,single,5.0,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,all,single,5.0,quota,0.637129878576233,"{'0': 0.777550556691661, '1': 0.6949233716475096, '2': 0.4389157073895284}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,all,pair,0.5,raw,0.3074298689628095,"{'0': 0.791582355321732, '1': 0.13070725156669652, '2': 0.0}","{'0': 13437, '1': 146, '2': 0}"
ratio_prefix,all,pair,0.5,quota,0.6515178918636898,"{'0': 0.788457168825267, '1': 0.696360153256705, '2': 0.46973635350909765}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,all,pair,5.0,raw,0.3074298689628095,"{'0': 0.791582355321732, '1': 0.13070725156669652, '2': 0.0}","{'0': 13437, '1': 146, '2': 0}"
ratio_prefix,all,pair,5.0,quota,0.6515178918636898,"{'0': 0.788457168825267, '1': 0.696360153256705, '2': 0.46973635350909765}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,all,single_pair,0.5,raw,0.33718543591981315,"{'0': 0.7954093620097596, '1': 0.21614694574967963, '2': 0.0}","{'0': 13330, '1': 253, '2': 0}"
ratio_prefix,all,single_pair,0.5,quota,0.6495781173483445,"{'0': 0.7870938423085663, '1': 0.696360153256705, '2': 0.46528035647976235}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,all,single_pair,5.0,raw,0.33718543591981315,"{'0': 0.7954093620097596, '1': 0.21614694574967963, '2': 0.0}","{'0': 13330, '1': 253, '2': 0}"
ratio_prefix,all,single_pair,5.0,quota,0.6495781173483445,"{'0': 0.7870938423085663, '1': 0.696360153256705, '2': 0.46528035647976235}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,front025,single,0.5,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,front025,single,0.5,quota,0.6947119594235321,"{'0': 0.8321972279027494, '1': 0.76772030651341, '2': 0.4842183438544374}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,front025,single,5.0,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,front025,single,5.0,quota,0.6947119594235321,"{'0': 0.8321972279027494, '1': 0.76772030651341, '2': 0.4842183438544374}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,front025,pair,0.5,raw,0.337136528712534,"{'0': 0.795354931995843, '1': 0.21605465414175917, '2': 0.0}","{'0': 13329, '1': 254, '2': 0}"
