split,model,variant,weight_mode,alpha,active_rows,macro_f1,per_class_f1,pred_counts
ratio_prefix,exact_posterior,raw,all,0.05,34482,0.7373871717870569,"{'0': 0.846813654942145, '1': 0.8394662353416903, '2': 0.5258816250773355}","{'0': 8569, '1': 2858, '2': 2156}"
ratio_prefix,exact_posterior,quota,all,0.05,34482,0.7255514878994194,"{'0': 0.8559418314019541, '1': 0.8093869731800766, '2': 0.5113256591162273}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,all,0.5,34482,0.7373871717870569,"{'0': 0.846813654942145, '1': 0.8394662353416903, '2': 0.5258816250773355}","{'0': 8569, '1': 2858, '2': 2156}"
ratio_prefix,exact_posterior,quota,all,0.5,34482,0.727483380289652,"{'0': 0.8559418314019541, '1': 0.8136973180076629, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,all,2.0,34482,0.7373871717870569,"{'0': 0.846813654942145, '1': 0.8394662353416903, '2': 0.5258816250773355}","{'0': 8569, '1': 2858, '2': 2156}"
ratio_prefix,exact_posterior,quota,all,2.0,34482,0.7302209931853255,"{'0': 0.8561690524880708, '1': 0.8227969348659003, '2': 0.5116969922020052}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,all,10.0,34482,0.7440991935382678,"{'0': 0.8680432862190812, '1': 0.8498048078898706, '2': 0.5144494865058514}","{'0': 9310, '1': 2779, '2': 1494}"
ratio_prefix,exact_posterior,quota,all,10.0,34482,0.7047663988961631,"{'0': 0.8436718927516473, '1': 0.7897509578544061, '2': 0.48087634608243596}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,all,0.5,34482,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,all,0.5,34482,0.637129878576233,"{'0': 0.777550556691661, '1': 0.6949233716475096, '2': 0.4389157073895284}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,all,5.0,34482,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,all,5.0,34482,0.637129878576233,"{'0': 0.777550556691661, '1': 0.6949233716475096, '2': 0.4389157073895284}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,all,0.5,34482,0.7443182361354816,"{'0': 0.8597987751531059, '1': 0.8551348900476082, '2': 0.518021043205731}","{'0': 9486, '1': 2323, '2': 1774}"
ratio_prefix,nb_full,quota,all,0.5,34482,0.7229446951988002,"{'0': 0.8384458077709611, '1': 0.8160919540229885, '2': 0.5142963238024508}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,all,5.0,34482,0.7443182361354816,"{'0': 0.8597987751531059, '1': 0.8551348900476082, '2': 0.518021043205731}","{'0': 9486, '1': 2323, '2': 1774}"
ratio_prefix,nb_full,quota,all,5.0,34482,0.7229446951988002,"{'0': 0.8384458077709611, '1': 0.8160919540229885, '2': 0.5142963238024508}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,all,0.5,34482,0.7496074768317432,"{'0': 0.8614775725593667, '1': 0.8630686886708296, '2': 0.5242761692650334}","{'0': 9390, '1': 2396, '2': 1797}"
ratio_prefix,nb_full_single,quota,all,0.5,34482,0.7223516442944367,"{'0': 0.8438991138377642, '1': 0.8103448275862069, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,all,5.0,34482,0.7496074768317432,"{'0': 0.8614775725593667, '1': 0.8630686886708296, '2': 0.5242761692650334}","{'0': 9390, '1': 2396, '2': 1797}"
ratio_prefix,nb_full_single,quota,all,5.0,34482,0.7223516442944367,"{'0': 0.8438991138377642, '1': 0.8103448275862069, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front2500,0.05,7500,0.7002485840503604,"{'0': 0.7616839994988097, '1': 0.8665547629039027, '2': 0.4725069897483691}","{'0': 7160, '1': 2678, '2': 3745}"
ratio_prefix,exact_posterior,quota,front2500,0.05,7500,0.7376555336316123,"{'0': 0.8287889116109975, '1': 0.8836206896551724, '2': 0.500556999628667}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front2500,0.5,7500,0.7002485840503604,"{'0': 0.7616839994988097, '1': 0.8665547629039027, '2': 0.4725069897483691}","{'0': 7160, '1': 2678, '2': 3745}"
ratio_prefix,exact_posterior,quota,front2500,0.5,7500,0.7189221059454384,"{'0': 0.8149284253578732, '1': 0.8472222222222222, '2': 0.49461567025621983}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front2500,2.0,7500,0.7002485840503604,"{'0': 0.7616839994988097, '1': 0.8665547629039027, '2': 0.4725069897483691}","{'0': 7160, '1': 2678, '2': 3745}"
ratio_prefix,exact_posterior,quota,front2500,2.0,7500,0.7145050997290078,"{'0': 0.8124289934105885, '1': 0.835727969348659, '2': 0.4953583364277757}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front2500,10.0,7500,0.7028874411212721,"{'0': 0.8051451416652181, '1': 0.8664259927797834, '2': 0.43709118891881493}","{'0': 8457, '1': 2621, '2': 2505}"
ratio_prefix,exact_posterior,quota,front2500,10.0,7500,0.6803901696130522,"{'0': 0.8044762553965008, '1': 0.8122605363984674, '2': 0.42443371704418864}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front2500,0.5,7500,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front2500,0.5,7500,0.7004763871606986,"{'0': 0.8128834355828221, '1': 0.8199233716475096, '2': 0.46862235425176385}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front2500,5.0,7500,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front2500,5.0,7500,0.7006001648559579,"{'0': 0.8128834355828221, '1': 0.8199233716475096, '2': 0.46899368733754176}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front2500,0.5,7500,0.7326727817414045,"{'0': 0.8379647971022696, '1': 0.8603661132396765, '2': 0.49968743488226713}","{'0': 8867, '1': 2610, '2': 2106}"
ratio_prefix,nb_full,quota,front2500,0.5,7500,0.7030787955284792,"{'0': 0.8350374914792092, '1': 0.8122605363984674, '2': 0.46193835870776084}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front2500,5.0,7500,0.7326727817414045,"{'0': 0.8379647971022696, '1': 0.8603661132396765, '2': 0.49968743488226713}","{'0': 8867, '1': 2610, '2': 2106}"
ratio_prefix,nb_full,quota,front2500,5.0,7500,0.7030787955284792,"{'0': 0.8350374914792092, '1': 0.8122605363984674, '2': 0.46193835870776084}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front2500,0.5,7500,0.7325097048784626,"{'0': 0.8376832927588744, '1': 0.8603661132396765, '2': 0.4994797086368366}","{'0': 8861, '1': 2610, '2': 2112}"
ratio_prefix,nb_full_single,quota,front2500,0.5,7500,0.7072816403117276,"{'0': 0.8379913655987276, '1': 0.8122605363984674, '2': 0.4715930189379874}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front2500,5.0,7500,0.7325097048784626,"{'0': 0.8376832927588744, '1': 0.8603661132396765, '2': 0.4994797086368366}","{'0': 8861, '1': 2610, '2': 2112}"
ratio_prefix,nb_full_single,quota,front2500,5.0,7500,0.7072816403117276,"{'0': 0.8379913655987276, '1': 0.8122605363984674, '2': 0.4715930189379874}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front5000,0.05,15000,0.7260758949386691,"{'0': 0.7942300579459992, '1': 0.8596273291925466, '2': 0.5243702976774616}","{'0': 7420, '1': 2742, '2': 3421}"
ratio_prefix,exact_posterior,quota,front5000,0.05,15000,0.7605366360743666,"{'0': 0.8453760508975233, '1': 0.8888888888888888, '2': 0.5473449684366877}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front5000,0.5,15000,0.7260758949386691,"{'0': 0.7942300579459992, '1': 0.8596273291925466, '2': 0.5243702976774616}","{'0': 7420, '1': 2742, '2': 3421}"
ratio_prefix,exact_posterior,quota,front5000,0.5,15000,0.7504272101143016,"{'0': 0.8362872074528517, '1': 0.8654214559386973, '2': 0.5495729669513554}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front5000,2.0,15000,0.7260758949386691,"{'0': 0.7942300579459992, '1': 0.8596273291925466, '2': 0.5243702976774616}","{'0': 7420, '1': 2742, '2': 3421}"
ratio_prefix,exact_posterior,quota,front5000,2.0,15000,0.735595064007288,"{'0': 0.8274255850942968, '1': 0.835727969348659, '2': 0.5436316375789083}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front5000,10.0,15000,0.7243623576644823,"{'0': 0.8224742506654322, '1': 0.8648762064624423, '2': 0.4857366158655725}","{'0': 8480, '1': 2678, '2': 2425}"
ratio_prefix,exact_posterior,quota,front5000,10.0,15000,0.7072853712254984,"{'0': 0.8279936378095887, '1': 0.8237547892720306, '2': 0.4701076865948756}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front5000,0.5,15000,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front5000,0.5,15000,0.6867530216868959,"{'0': 0.8114064985230629, '1': 0.7308429118773946, '2': 0.5180096546602302}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front5000,5.0,15000,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front5000,5.0,15000,0.6864297259343384,"{'0': 0.8111792774369462, '1': 0.7308429118773946, '2': 0.5172669884886744}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front5000,0.5,15000,0.744183497229567,"{'0': 0.8482481462613913, '1': 0.8616998950682057, '2': 0.5226024503591044}","{'0': 8865, '1': 2677, '2': 2041}"
ratio_prefix,nb_full,quota,front5000,0.5,15000,0.7062756090389173,"{'0': 0.8451488298114065, '1': 0.7983716475095786, '2': 0.4753063497957668}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front5000,5.0,15000,0.744183497229567,"{'0': 0.8482481462613913, '1': 0.8616998950682057, '2': 0.5226024503591044}","{'0': 8865, '1': 2677, '2': 2041}"
ratio_prefix,nb_full,quota,front5000,5.0,15000,0.7062756090389173,"{'0': 0.8451488298114065, '1': 0.7983716475095786, '2': 0.4753063497957668}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front5000,0.5,15000,0.7426210100554003,"{'0': 0.8446773366748306, '1': 0.86, '2': 0.5231856934913703}","{'0': 8755, '1': 2712, '2': 2116}"
ratio_prefix,nb_full_single,quota,front5000,0.5,15000,0.7082153835542626,"{'0': 0.8465121563281073, '1': 0.7983716475095786, '2': 0.4797623468251021}","{'0': 8802, '1': 2088, '2': 2693}"
