binary_id,sid,pred,prev_c,next_c,reason,hit_cwe,pure,hits
BIN_6634258,18995,CWE-190,CWE-188,CWE-190,out1,CWE-190,True,"[('CWE-190', 1, [('BIN_5477929', 18996)])]"
BIN_8289624,22955,CWE-191,CWE-190,CWE-191,out1,CWE-191,True,"[('CWE-191', 1, [('BIN_8455169', 22956)])]"
BIN_1552866,25893,CWE-191,CWE-191,CWE-194,out1,CWE-190|CWE-191,False,"[('CWE-190', 2, [('BIN_7775538', 22941), ('BIN_8935990', 22257)]), ('CWE-191', 3, [('BIN_2737942', 24981), ('BIN_2876330', 25665), ('BIN_3241346', 25209)])]"
BIN_2789041,33065,CWE-036,CWE-369,CWE-036,out1,CWE-036,True,"[('CWE-036', 1, [('BIN_2885684', 33066)])]"
BIN_8875385,35183,CWE-391,CWE-390,CWE-391,out1,CWE-391,True,"[('CWE-391', 1, [('BIN_1225491', 35184)])]"
BIN_8309456,35237,CWE-396,CWE-391,CWE-396,out1,CWE-396,True,"[('CWE-396', 1, [('BIN_1541420', 35238)])]"
BIN_3372307,35489,CWE-398,CWE-398,CWE-400,out1,CWE-546,True,"[('CWE-546', 4, [('BIN_1789203', 41947), ('BIN_3154132', 41875), ('BIN_4521611', 41893), ('BIN_5730249', 41929)])]"
BIN_9698941,37869,CWE-404,CWE-401,CWE-404,out1,CWE-404,True,"[('CWE-404', 1, [('BIN_9531146', 37870)])]"
BIN_4135362,40995,CWE-464,CWE-459,CWE-464,out1,CWE-464,True,"[('CWE-464', 1, [('BIN_2162526', 40996)])]"
BIN_5474899,41589,CWE-480,CWE-479,CWE-480,"nearest<=2diff,out1",CWE-480|CWE-561|CWE-563|CWE-570,False,"[('CWE-480', 5, [('BIN_3475985', 41594), ('BIN_5799337', 41591), ('BIN_7256090', 41598), ('BIN_7861537', 41597), ('BIN_9403029', 41590)]), ('CWE-561', 1, [('BIN_5614966', 41948)]), ('CWE-563', 37, [('BIN_1783231', 42159), ('BIN_2063629', 42225), ('BIN_2323145', 42168), ('BIN_2425069', 42161), ('BIN_2728295', 42131)]), ('CWE-570', 1, [('BIN_3192387', 42480)])]"
BIN_4967771,41606,CWE-480,CWE-480,CWE-481,out1,CWE-480|CWE-563,False,"[('CWE-480', 2, [('BIN_5588728', 41604), ('BIN_9623614', 41603)]), ('CWE-563', 6, [('BIN_2059005', 42201), ('BIN_2128050', 42282), ('BIN_2480409', 42283), ('BIN_4781201', 42227), ('BIN_5840480', 42198)])]"
BIN_1727266,41956,CWE-563,CWE-562,CWE-563,out1,CWE-398|CWE-546,False,"[('CWE-398', 2, [('BIN_2191388', 35454), ('BIN_9378523', 35472)]), ('CWE-546', 4, [('BIN_2459262', 41930), ('BIN_5090246', 41876), ('BIN_5618070', 41912), ('BIN_9430159', 41858)])]"
BIN_2833325,48170,CWE-758,CWE-690,CWE-758,out1,CWE-758,True,"[('CWE-758', 1, [('BIN_3240352', 48171)])]"
BIN_8546391,54039,CWE-078,CWE-789,CWE-078,out1,CWE-078,True,"[('CWE-078', 3, [('BIN_7366644', 54088), ('BIN_8514468', 54087), ('BIN_8990922', 54040)])]"
BIN_8993957,55981,CWE-835,CWE-835,CWE-843,out1,CWE-835,True,"[('CWE-835', 1, [('BIN_5809489', 55979)])]"
BIN_7005351,25894,CWE-191,CWE-191,CWE-194,out2,CWE-190|CWE-191,False,"[('CWE-190', 4, [('BIN_1478053', 22258), ('BIN_3168527', 22942), ('BIN_7456165', 22714), ('BIN_9945326', 22030)]), ('CWE-191', 1, [('BIN_8882037', 25666)])]"
BIN_9428082,41955,CWE-563,CWE-562,CWE-563,out2,CWE-563,True,"[('CWE-563', 1, [('BIN_5614912', 42127)])]"
