bid,sid,pred,alt,side,gap,pure,first,uniq,counterparts,cp_pure,cp_first,cp_uniq,support,ambiguous
BIN_8950290,408,CWE-135,CWE-121,right_from_CWE-121,16,,,,train:BIN_9765641,,,,False,True
BIN_8249526,504,CWE-126,CWE-121,left_to_CWE-121,1,,,,test:BIN_6551663,,,,False,True
BIN_3049998,506,CWE-126,CWE-121,right_from_CWE-121,1,,,,train:BIN_9462531,,,,False,True
BIN_8681591,511,CWE-126,CWE-121,left_to_CWE-121,1,,,,test:BIN_8202141,,,,False,True
BIN_6545696,513,CWE-126,CWE-121,right_from_CWE-121,1,,,,train:BIN_1741669,,,,False,True
BIN_3790413,517,CWE-126,CWE-121,left_to_CWE-121,1,,,,test:BIN_5624407,,,,False,True
BIN_8264883,520,CWE-126,CWE-121,right_from_CWE-121,1,,,,test:BIN_4901691,,,,False,True
BIN_2254329,525,CWE-126,CWE-121,left_to_CWE-121,1,,,,train:BIN_9424923,,,,False,True
BIN_5720554,531,CWE-126,CWE-121,left_to_CWE-121,1,,,,train:BIN_8643505,,,,False,True
BIN_6516479,532,CWE-121,CWE-126,right_from_CWE-126,1,,,,test:BIN_4543514,,,,False,True
BIN_1812963,4913,CWE-126,CWE-121,right_from_CWE-121,1,,,,test:BIN_6626214,,,,False,True
BIN_1455492,4916,CWE-121,CWE-126,right_from_CWE-126,1,,,,test:BIN_9468942,,,,False,True
BIN_4577138,4919,CWE-126,CWE-121,right_from_CWE-121,1,,,,test:BIN_3696497,,,,False,True
BIN_2334733,4943,CWE-126,CWE-121,right_from_CWE-121,1,,,,test:BIN_7775265,,,,False,True
BIN_6244783,4961,CWE-126,CWE-122,right_from_CWE-122,1,,,,test:BIN_9639073,,,,False,True
BIN_4860053,4966,CWE-126,CWE-122,left_to_CWE-122,1,,,,train:BIN_2148279,,,,False,True
BIN_8227758,4968,CWE-126,CWE-122,right_from_CWE-122,1,,,,test:BIN_7272665,,,,False,True
BIN_4280528,4977,CWE-126,CWE-122,right_from_CWE-122,1,,,,test:BIN_7803243,,,,False,True
BIN_3181278,7840,CWE-122,CWE-135,left_to_CWE-135,20,,CWE-122,CWE-122|CWE-131,train:BIN_6610860,,CWE-122,CWE-122|CWE-131,True,False
BIN_9837273,7860,CWE-135,CWE-122,right_from_CWE-122,20,,,,train:BIN_8394963,,,,False,True
BIN_2597033,7908,CWE-122,CWE-135,right_from_CWE-135,20,,,,test:BIN_6492891,,,,False,True
BIN_4198219,10834,CWE-122,CWE-126,right_from_CWE-126,1,,,,train:BIN_7133337,,,,False,True
BIN_1938615,10838,CWE-122,CWE-126,right_from_CWE-126,1,,,,train:BIN_7469235,,,,False,True
BIN_4942051,10844,CWE-122,CWE-126,left_to_CWE-126,1,,,,test:BIN_5084862,,,,False,True
BIN_9335771,10850,CWE-126,CWE-122,left_to_CWE-122,1,,,,train:BIN_9978026,,,,False,True
BIN_4025173,10855,CWE-126,CWE-122,right_from_CWE-122,1,,,,train:BIN_4004855,,,,False,True
BIN_7827710,10990,CWE-123,CWE-124,left_to_CWE-124,20,CWE-123,CWE-123,CWE-123,test:BIN_7813105,CWE-123,CWE-123,CWE-123,True,False
BIN_9514021,16558,CWE-134,CWE-127,right_from_CWE-127,16,,,,train:BIN_3971235,,,,False,True
BIN_1371931,18938,CWE-134,CWE-188,left_to_CWE-188,20,CWE-134,CWE-134,CWE-134,test:BIN_5913577,CWE-134,CWE-134,CWE-134,True,False
BIN_3918710,18958,CWE-188,CWE-134,right_from_CWE-134,20,,,,test:BIN_6006921,,,,False,True
BIN_1282514,18993,CWE-188,CWE-190,left_to_CWE-190,1,,,,test:BIN_1043729,,,,False,True
BIN_1606490,18994,CWE-190,CWE-188,right_from_CWE-188,1,,,,test:BIN_7703671,,,,False,True
BIN_6848141,22954,CWE-191,CWE-190,right_from_CWE-190,12,,,,test:BIN_5475140,,,,False,True
BIN_7005351,25894,CWE-191,CWE-194,left_to_CWE-194,12,CWE-191,CWE-191,CWE-191,train:BIN_7951930,CWE-191,CWE-191,CWE-191,True,False
BIN_1445445,25906,CWE-194,CWE-191,right_from_CWE-191,12,,,,train:BIN_8569011,,,,False,True
BIN_6330929,27058,CWE-195,CWE-194,right_from_CWE-194,20,,,,test:BIN_8849768,,,,False,True
BIN_3124360,28227,CWE-196,CWE-197,left_to_CWE-197,1,,,,train:BIN_6798655,,,,False,True
BIN_1801347,29072,CWE-197,CWE-023,left_to_CWE-023,20,CWE-197,CWE-197,CWE-197,test:BIN_2322028,CWE-197,CWE-197,CWE-197,True,False
BIN_8386492,29092,CWE-023,CWE-197,right_from_CWE-197,20,CWE-023,CWE-023,CWE-023,train:BIN_7165929,CWE-023,CWE-023,CWE-023,True,False
BIN_3198952,30992,CWE-023,CWE-242,left_to_CWE-242,20,CWE-023,CWE-023,CWE-023,test:BIN_1170097,CWE-023,CWE-023,CWE-023,True,False
BIN_2150059,31012,CWE-242,CWE-023,right_from_CWE-023,20,,,,test:BIN_4000150,,,,False,True
BIN_4198849,31569,CWE-252,CWE-253,left_to_CWE-253,1,,,,test:BIN_8814428,,,,False,True
BIN_4199403,32199,CWE-367,CWE-369,left_to_CWE-369,1,,,,train:BIN_1738567,,,,False,True
BIN_2660949,32200,CWE-369,CWE-367,right_from_CWE-367,1,,,,train:BIN_5225922,,,,False,True
BIN_6203055,33064,CWE-036,CWE-369,right_from_CWE-369,20,CWE-036,CWE-036,CWE-036,test:BIN_8548703,CWE-036,CWE-036,CWE-036,True,False
BIN_9273197,35092,CWE-390,CWE-377,right_from_CWE-377,1,CWE-390,CWE-390,CWE-390,test:BIN_9918795,CWE-390,CWE-390,CWE-390,True,False
BIN_6066650,35181,CWE-390,CWE-391,left_to_CWE-391,1,,,,train:BIN_5497133,,,,False,True
BIN_2011998,35182,CWE-391,CWE-390,right_from_CWE-390,1,,,,train:BIN_3630605,,,,False,True
BIN_7681509,35236,CWE-396,CWE-391,right_from_CWE-391,1,CWE-396,CWE-396,CWE-396,test:BIN_8068377,CWE-396,CWE-396,CWE-396,True,False
BIN_7190407,35289,CWE-396,CWE-397,left_to_CWE-397,2,CWE-396,CWE-396,CWE-396,test:BIN_2172928,CWE-396,CWE-396,CWE-396,True,False
BIN_3372307,35489,CWE-398,CWE-400,left_to_CWE-400,1,,,,test:BIN_7243932,,,,False,True
BIN_8921984,35490,CWE-400,CWE-398,right_from_CWE-398,1,,,,train:BIN_1544968,,,,False,True
