target,split,binary_id,sid,cwe,entry_line,high_pc,var_lines,ptr_sig,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,calls,preview
BIN_1282514,train,BIN_1257436,18988,CWE-188,17,56,29,unionStructLong:0,18|19|30|33|34|37,56,18,1,1,4b1920a797907775,55589614774fa86d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N "
BIN_1282514,train,BIN_8447356,18989,CWE-188,17,56,29,unionStructLong:0,18|19|30|33|34|37,56,18,1,1,4b1920a797907775,55589614774fa86d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N "
BIN_1282514,train,BIN_8866122,18991,CWE-188,17,43,29,unionStructLong:0,18|30|33|34|36|38,43,15,1,0,49bc24a70b87b98e,55589614774fa86d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N nop: nop: add:rsp,N pop:rbp ret:"
BIN_1282514,train,BIN_3097684,18992,CWE-188,17,62,19|30,j:0|unionStructLong:0,18|20|31|34|35|20|38,62,20,1,2,410e37cf83ecde38,1cd023f1a5b4374e,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:dwordptr_[rbp-8],N movzx:eax,byteptr_[rbp-5] or:eax,N mov:byteptr_[rbp-5],al mov:eax,dwordptr_[rbp-8] mov:ecx,eax call:N add:dwordptr_[rbp-4],1 cmp:dwordptr"
BIN_1282514,test,BIN_1282514,18993,CWE-188,17,43,29,unionStructLong:0,18|19|30|33|34|36,43,15,1,0,790a0a28ecb5f0aa,55589614774fa86d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:"
BIN_1282514,train,BIN_5477929,18996,CWE-190,19,79,21|32,data:0|result:0,20|22|26|32|33|36,79,23,3,0,8ac7a7a06b5105e0,833da4979cffd76a,fscanf|printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax,byteptr_[rbp-2] add:eax,1 mov:byteptr_["
BIN_1282514,train,BIN_2843151,18997,CWE-190,25,97,27|38,data:0|result:0,26|28|29|32|34|38|39|42,97,29,3,2,6cae5c85382efc46,833da4979cffd76a,fscanf|printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:eax,1 test:eax,eax je:N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N mov:eax,1 test:eax,ea"
BIN_1727266,train,BIN_6494103,41951,CWE-562,-1,-1,,,,29,11,2,0,d9ee35c5a4892c5c,da39a3ee5e6b4b0d,_zn69cwe562_return_of_stack_variable_address__return_local_class_member_01l9helperbadev|printintline,"push:rbp mov:rbp,rsp sub:rsp,N call:N mov:eax,dwordptr_[rax] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:"
BIN_1727266,test,BIN_1727266,41956,CWE-563,12,30,,,13|15|16,30,10,1,0,29d1f70a86127892,da39a3ee5e6b4b0d,printline,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_1727266,train,BIN_5076009,41957,CWE-563,20,19,22,data:0,21|24|28,19,8,0,0,3c45596b2e211bff,fc147f609d33e50d,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N nop: add:rsp,N pop:rbp ret:"
