columns,th,n,acc,wrong
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,5050,0.8134653465346534,942
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,1380,0.8652173913043478,186
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,590,0.9559322033898305,26
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,134,1.0,0
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,21,1.0,0
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,20,21,1.0,0
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,8447,0.9636557357641766,307
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,5903,0.9845841097746908,91
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,4517,0.9957936683639583,19
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,2755,0.9978221415607985,6
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,1178,0.99830220713073,2
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,20,320,1.0,0
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,1,8450,0.963076923076923,312
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,2,5904,0.9844173441734417,92
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,3,4517,0.9957936683639583,19
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,5,2755,0.9978221415607985,6
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,10,1178,0.99830220713073,2
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,20,320,1.0,0
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,8447,0.9636557357641766,307
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,5903,0.9845841097746908,91
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,4517,0.9957936683639583,19
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,2755,0.9978221415607985,6
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,1178,0.99830220713073,2
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,20,320,1.0,0
