binary_id,current,key_pred,support,purity,columns,examples,entry_line,high_pc,var_lines,line_seq_compact
BIN_1938615,CWE-126,CWE-122,4,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1054821|BIN_2739460|BIN_3056539|BIN_5683592,30,169,35,31|32|35|36|37|39|41|42|43|44|45|48
BIN_1938615,CWE-126,CWE-122,4,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1054821|BIN_2739460|BIN_3056539|BIN_5683592,30,169,35,31|32|35|36|37|39|41|42|43|44|45|48
BIN_1938615,CWE-126,CWE-122,4,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_1054821|BIN_2739460|BIN_3056539|BIN_5683592,30,169,35,31|32|35|36|37|39|41|42|43|44|45|48
BIN_1938615,CWE-126,CWE-122,4,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_1054821|BIN_2739460|BIN_3056539|BIN_5683592,30,169,35,31|32|35|36|37|39|41|42|43|44|45|48
BIN_2038451,CWE-121,CWE-122,2,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6358035|BIN_6802560,36,63,38,37|39|41|42|43|44
BIN_2038451,CWE-121,CWE-122,2,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6358035|BIN_6802560,36,63,38,37|39|41|42|43|44
BIN_2038451,CWE-121,CWE-122,2,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,BIN_6358035|BIN_6802560,36,63,38,37|39|41|42|43|44
BIN_2038451,CWE-121,CWE-122,2,1.0,ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_6358035|BIN_6802560,36,63,38,37|39|41|42|43|44
BIN_1938615,CWE-126,CWE-122,1,1.0,entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_3056539,30,169,35,31|32|35|36|37|39|41|42|43|44|45|48
BIN_2254329,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_4097945,31,215,36|50,32|33|37|39|41|42|43|44|61|51|53|55|56|57|58|61
BIN_2254329,CWE-121,CWE-126,1,1.0,entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,BIN_4097945,31,215,36|50,32|33|37|39|41|42|43|44|61|51|53|55|56|57|58|61
