columns,th,n,acc,wrong
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,2351,0.9982985963419821,4
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,737,1.0,0
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,290,1.0,0
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,53,1.0,0
entry_line+high_pc+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,0,,0
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,4483,0.9964309614097703,16
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,3521,0.9994319795512638,2
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,2881,0.9996528982992017,1
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,1915,0.9994778067885117,1
entry_line+var_lines+ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,1054,1.0,0
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,1,4483,0.9964309614097703,16
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,2,3521,0.9994319795512638,2
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,3,2881,0.9996528982992017,1
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,5,1915,0.9994778067885117,1
entry_line+var_lines+ptr_sig+struct_size_sig+line_seq_compact,10,1054,1.0,0
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,1,4483,0.9964309614097703,16
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,2,3521,0.9994319795512638,2
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,3,2881,0.9996528982992017,1
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,5,1915,0.9994778067885117,1
ptr_sig+struct_size_sig+member_sig+char_first_type+line_seq_compact,10,1054,1.0,0
