binary_id,sid,train_cwe,entry_line,high_pc,vars
BIN_8457830,502,CWE-126,36,102,structCharVoid@L41:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_8249526,504,,31,104,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2692299,505,CWE-121,31,104,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_3049998,506,,31,100,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_4097945,507,CWE-126,31,181,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void|structCharVoid@L50:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_2463809,508,CWE-126,31,105,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_7570995,515,CWE-126,31,125,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_3790413,517,,37,134,structCharVoid@L42:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_8719707,518,CWE-121,37,135,structCharVoid@L42:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_3350323,519,CWE-121,36,135,structCharVoid@L41:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_8264883,520,,36,136,structCharVoid@L41:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_5955145,521,CWE-126,44,134,structCharVoid@L49:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_9164795,522,CWE-126,31,138,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
BIN_5223234,523,CWE-126,31,138,structCharVoid@L36:ptr0:S32:charFirst@0:char[16];voidSecond@16:*void;voidThird@24:*void
