binary_id,source_id_num,cwe_id,pred,n_keys,key_list,max_support,min_wrong,max_acc,left_sid,left_bid,left_cwe,left_dist,right_sid,right_bid,right_cwe,right_dist
BIN_1041261,23794,CWE-191,CWE-190,1,key_body_hex,2,26,0.9740777666999004,23792,BIN_1767377,CWE-191,2,23795,BIN_5295154,CWE-191,1
BIN_1053545,15646,CWE-127,CWE-122,1,key_len_ins_calls,4,377,0.9334157541504768,15641,BIN_7735520,CWE-127,5,15647,BIN_1096524,CWE-127,1
BIN_1054379,23928,CWE-191,CWE-190,1,key_len_ins_calls,5,377,0.9334157541504768,23927,BIN_2940570,CWE-191,1,23930,BIN_5145249,CWE-191,2
BIN_1068651,26633,CWE-194,CWE-195,1,key_callseq,2,61,0.9922970071978784,26631,BIN_6250099,CWE-194,2,26634,BIN_4150923,CWE-194,1
BIN_1131828,11078,CWE-124,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,11076,BIN_8849850,CWE-124,2,11080,BIN_1996708,CWE-124,2
BIN_1149573,45752,CWE-606,CWE-134,3,key_ins_full|key_len_ins_calls|key_op_full,2,56,0.9925788497217068,45750,BIN_1565243,CWE-606,2,45753,BIN_7797326,CWE-606,1
BIN_1150247,23581,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,23580,BIN_3721297,CWE-191,1,23582,BIN_8630893,CWE-191,1
BIN_1178703,5822,CWE-122,CWE-127,1,key_len_ins_calls,2,377,0.9334157541504768,5820,BIN_9788794,CWE-122,2,5844,BIN_5599121,CWE-122,22
BIN_1189246,1713,CWE-121,CWE-124,1,key_ins_tail24,4,79,0.991979695431472,1712,BIN_7140615,CWE-121,1,1714,BIN_6416023,CWE-121,1
BIN_1191101,11705,CWE-124,CWE-122,1,key_len_ins_calls,2,377,0.9334157541504768,11704,BIN_7129306,CWE-124,1,11706,BIN_8614132,CWE-124,1
BIN_1231705,13864,CWE-126,CWE-127,1,key_marker_tail,169,46,0.9945901446548278,13863,BIN_2224810,CWE-126,1,13866,BIN_2924663,CWE-126,2
BIN_1232719,44635,CWE-590,CWE-126,1,key_len_ins_calls,4,377,0.9334157541504768,44618,BIN_6500102,CWE-590,17,44638,BIN_3467474,CWE-590,3
BIN_1345675,39455,CWE-426,CWE-078,1,key_ins_tail18,11,74,0.9933922671667114,39451,BIN_5329558,CWE-426,4,39458,BIN_4809505,CWE-426,3
BIN_1352800,43977,CWE-590,CWE-775,1,key_len_ins_calls,3,377,0.9334157541504768,43976,BIN_1073490,CWE-590,1,43978,BIN_8539276,CWE-590,1
BIN_1387584,13107,CWE-126,CWE-127,1,key_len_ins_calls,3,377,0.9334157541504768,13086,BIN_3504751,CWE-126,21,13110,BIN_3131403,CWE-126,3
BIN_1440075,52951,CWE-773,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,52950,BIN_2408266,CWE-773,1,52956,BIN_9706394,CWE-773,5
BIN_1442550,11457,CWE-124,CWE-121,1,key_ins_tail30,2,80,0.990573818781666,11454,BIN_7253660,CWE-124,3,11461,BIN_5886049,CWE-124,4
BIN_1455949,41852,CWE-526,CWE-252,1,key_len_ins_calls,3,377,0.9334157541504768,41851,BIN_2990915,CWE-526,1,41854,BIN_6486244,CWE-526,2
BIN_1470790,25118,CWE-191,CWE-190,1,key_callseq,2,61,0.9922970071978784,25117,BIN_6614247,CWE-191,1,25119,BIN_6697691,CWE-191,1
BIN_1480478,19525,CWE-190,CWE-590,1,key_len_ins_calls,2,377,0.9334157541504768,19522,BIN_7747048,CWE-190,3,19526,BIN_7645340,CWE-190,1
BIN_1518061,19201,CWE-190,CWE-191,1,key_len_ins_calls,2,377,0.9334157541504768,19195,BIN_9434123,CWE-190,6,19202,BIN_4433378,CWE-190,1
BIN_1578076,23888,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,23886,BIN_8024493,CWE-191,2,23891,BIN_1245167,CWE-191,3
BIN_1581857,48352,CWE-758,CWE-401,1,key_len_ins_calls,2,377,0.9334157541504768,48348,BIN_9753305,CWE-758,4,48353,BIN_7331128,CWE-758,1
BIN_1612094,46493,CWE-675,CWE-415,1,key_marker_tail,2,46,0.9945901446548278,46492,BIN_2849783,CWE-675,1,46494,BIN_4830897,CWE-675,1
BIN_1629479,11081,CWE-124,CWE-121,1,key_len_ins_calls,2,377,0.9334157541504768,11080,BIN_1996708,CWE-124,1,11082,BIN_9270706,CWE-124,1
BIN_1633121,47099,CWE-680,CWE-122,1,key_op_full,2,56,0.9925788497217068,47097,BIN_2688152,CWE-680,2,47119,BIN_1972094,CWE-680,20
BIN_1634092,34428,CWE-036,CWE-023,3,key_ins_tail24|key_ins_tail30|key_ins_tail36,2,79,0.991979695431472,34426,BIN_3278825,CWE-036,2,34429,BIN_9645056,CWE-036,1
BIN_1653080,10784,CWE-122,CWE-401,1,key_op_full,4,56,0.9925788497217068,10762,BIN_8867381,CWE-122,22,10785,BIN_6783432,CWE-122,1
BIN_1670545,39454,CWE-426,CWE-078,1,key_ins_tail18,11,74,0.9933922671667114,39451,BIN_5329558,CWE-426,3,39458,BIN_4809505,CWE-426,4
BIN_1676602,34864,CWE-036,CWE-023,1,key_ins_tail36,2,97,0.9869588599085776,34861,BIN_3437164,CWE-036,3,34865,BIN_9064366,CWE-036,1
BIN_1695267,29108,CWE-023,CWE-036,1,key_ins_tail24,2,79,0.991979695431472,29107,BIN_5169930,CWE-023,1,29112,BIN_1388903,CWE-023,4
BIN_1700295,23745,CWE-191,CWE-190,2,key_len_ins_calls|key_marker_tail,3,46,0.9945901446548278,23744,BIN_3602654,CWE-191,1,23746,BIN_5291864,CWE-191,1
BIN_1710059,15253,CWE-127,CWE-124,1,key_callseq,2,61,0.9922970071978784,15252,BIN_5986670,CWE-127,1,15254,BIN_2616892,CWE-127,1
BIN_1731473,26153,CWE-194,CWE-195,1,key_callseq,2,61,0.9922970071978784,26149,BIN_1135750,CWE-194,4,26154,BIN_2239038,CWE-194,1
BIN_1735650,4420,CWE-121,CWE-124,1,key_ins_tail18,3,74,0.9933922671667114,4418,BIN_4896653,CWE-121,2,4421,BIN_4233943,CWE-121,1
BIN_1749822,24579,CWE-191,CWE-190,1,key_len_ins_calls,2,377,0.9334157541504768,24576,BIN_5316999,CWE-191,3,24580,BIN_3336296,CWE-191,1
BIN_1753242,44246,CWE-590,CWE-122,1,key_len_ins_calls,3,377,0.9334157541504768,44245,BIN_5223695,CWE-590,1,44247,BIN_1855152,CWE-590,1
BIN_1773314,31810,CWE-253,CWE-121,1,key_len_ins_calls,3,377,0.9334157541504768,31809,BIN_2043086,CWE-253,1,31812,BIN_8077151,CWE-253,2
