key_type,covered,correct,wrong,acc,support_breakdown
key_marker_tail,8503,8457,46,0.9945901446548278,"{""2"": [399, 375], ""3"": [361, 356], ""4"": [241, 235], ""5"": [252, 252], ""6"": [302, 301], ""7"": [465, 464], ""8"": [666, 666], ""9"": [441, 440], ""10"": [343, 341], ""11"": [302, 300], ""12"": [183, 182], ""13"": [238, 238], ""14"": [105, 105], ""15"": [288, 288], ""16"": [289, 289], ""17"": [180, 180], ""18"": [171, 171], ""19"": [220, 220], ""20"": [147, 147], ""21"": [44, 44], ""22"": [69, 69], ""23"": [96, 96], ""24"": [51, 50], ""25"": [156, 156], ""26"": [81, 81], ""27"": [112, 112], ""28"": [58, 58], ""29"": [60, 60], ""30"": [124, 124], ""31"": [33, 32], ""32"": [33, 33], ""33"": [102, 102], ""34"": [105, 105], ""35"": [36, 36], ""37"": [76, 76], ""38"": [117, 117], ""40"": [123, 123], ""42"": [86, 86], ""44"": [45, 45], ""45"": [92, 92], ""46"": [94, 94], ""47"": [48, 48], ""50"": [51, 51], ""51"": [156, 156], ""52"": [53, 53], ""56"": [58, 57], ""58"": [59, 59], ""61"": [62, 62], ""65"": [66, 66], ""85"": [86, 86], ""90"": [91, 91], ""94"": [95, 95], ""122"": [123, 123], ""168"": [169, 169]}"
key_ins_tail18,11199,11125,74,0.9933922671667114,"{""2"": [1266, 1236], ""3"": [933, 920], ""4"": [625, 610], ""5"": [631, 624], ""6"": [555, 553], ""7"": [548, 544], ""8"": [495, 495], ""9"": [351, 350], ""10"": [429, 429], ""11"": [240, 240], ""12"": [312, 312], ""13"": [393, 392], ""14"": [210, 210], ""15"": [208, 208], ""16"": [255, 255], ""17"": [252, 252], ""18"": [133, 133], ""19"": [121, 120], ""20"": [189, 189], ""21"": [264, 264], ""22"": [207, 207], ""23"": [144, 144], ""24"": [150, 150], ""25"": [182, 182], ""26"": [189, 189], ""27"": [56, 56], ""28"": [145, 145], ""29"": [150, 150], ""30"": [124, 124], ""31"": [32, 32], ""33"": [68, 68], ""34"": [35, 35], ""35"": [36, 36], ""36"": [74, 74], ""37"": [38, 38], ""38"": [78, 78], ""39"": [80, 80], ""40"": [41, 41], ""41"": [42, 42], ""42"": [43, 43], ""43"": [44, 44], ""45"": [46, 46], ""46"": [47, 47], ""47"": [48, 48], ""51"": [52, 52], ""53"": [54, 54], ""55"": [56, 56], ""57"": [58, 58], ""62"": [63, 63], ""66"": [67, 67], ""73"": [74, 74], ""109"": [110, 110], ""155"": [156, 156]}"
key_op_full,7546,7490,56,0.9925788497217068,"{""2"": [2445, 2421], ""3"": [1606, 1596], ""4"": [848, 840], ""5"": [680, 678], ""6"": [479, 476], ""7"": [386, 384], ""8"": [245, 243], ""9"": [132, 130], ""10"": [77, 77], ""11"": [37, 36], ""12"": [65, 65], ""13"": [57, 56], ""14"": [30, 30], ""15"": [48, 48], ""16"": [51, 51], ""17"": [72, 72], ""18"": [19, 19], ""19"": [40, 40], ""20"": [84, 84], ""21"": [66, 66], ""22"": [23, 23], ""26"": [27, 27], ""27"": [28, 28], ""33"": [1, 0]}"
key_callseq,7919,7858,61,0.9922970071978785,"{""2"": [183, 144], ""3"": [162, 148], ""4"": [141, 135], ""5"": [144, 144], ""6"": [161, 161], ""7"": [249, 248], ""8"": [441, 441], ""9"": [530, 530], ""10"": [473, 473], ""11"": [480, 480], ""12"": [468, 468], ""13"": [225, 224], ""14"": [165, 165], ""15"": [64, 64], ""16"": [85, 85], ""17"": [126, 126], ""18"": [228, 228], ""19"": [240, 240], ""20"": [294, 294], ""21"": [286, 286], ""22"": [207, 207], ""23"": [168, 168], ""24"": [125, 125], ""25"": [156, 156], ""26"": [81, 81], ""27"": [84, 84], ""28"": [87, 87], ""29"": [90, 90], ""30"": [93, 93], ""31"": [32, 32], ""32"": [33, 33], ""33"": [68, 68], ""34"": [105, 105], ""35"": [72, 72], ""36"": [37, 37], ""37"": [114, 114], ""41"": [42, 42], ""42"": [43, 43], ""43"": [44, 44], ""44"": [45, 45], ""47"": [48, 48], ""61"": [62, 62], ""62"": [63, 63], ""63"": [64, 64], ""67"": [68, 68], ""68"": [69, 69], ""69"": [70, 70], ""70"": [71, 71], ""72"": [73, 73], ""73"": [74, 74], ""75"": [76, 76], ""76"": [154, 154], ""77"": [156, 156]}"
key_ins_tail24,9850,9771,79,0.9919796954314721,"{""2"": [1496, 1458], ""3"": [1049, 1036], ""4"": [592, 575], ""5"": [629, 624], ""6"": [428, 427], ""7"": [411, 408], ""8"": [495, 495], ""9"": [271, 270], ""10"": [341, 341], ""11"": [228, 228], ""12"": [260, 260], ""13"": [281, 280], ""14"": [150, 150], ""15"": [192, 192], ""16"": [238, 238], ""17"": [144, 144], ""18"": [76, 76], ""19"": [100, 100], ""20"": [105, 105], ""21"": [154, 154], ""22"": [184, 184], ""23"": [144, 144], ""24"": [175, 175], ""25"": [52, 52], ""26"": [162, 162], ""27"": [84, 84], ""28"": [116, 116], ""29"": [150, 150], ""30"": [155, 155], ""31"": [32, 32], ""32"": [33, 33], ""33"": [34, 34], ""34"": [35, 35], ""35"": [36, 36], ""37"": [38, 38], ""38"": [78, 78], ""39"": [40, 40], ""43"": [44, 44], ""45"": [46, 46], ""48"": [49, 49], ""51"": [52, 52], ""53"": [54, 54], ""55"": [56, 56], ""57"": [58, 58], ""62"": [63, 63], ""109"": [110, 110], ""129"": [130, 130]}"
key_ins_tail30,8487,8407,80,0.9905738187816661,"{""2"": [1789, 1749], ""3"": [1226, 1212], ""4"": [586, 570], ""5"": [539, 534], ""6"": [323, 322], ""7"": [378, 376], ""8"": [441, 441], ""9"": [221, 220], ""10"": [242, 242], ""11"": [168, 168], ""12"": [156, 156], ""13"": [113, 112], ""14"": [135, 135], ""15"": [208, 208], ""16"": [153, 153], ""17"": [180, 180], ""18"": [133, 133], ""20"": [42, 42], ""21"": [66, 66], ""22"": [138, 138], ""23"": [120, 120], ""24"": [50, 50], ""25"": [26, 26], ""26"": [54, 54], ""27"": [56, 56], ""28"": [87, 87], ""29"": [90, 90], ""30"": [93, 93], ""32"": [33, 33], ""33"": [68, 68], ""35"": [36, 36], ""38"": [39, 39], ""40"": [41, 41], ""48"": [49, 49], ""53"": [54, 54], ""55"": [56, 56], ""57"": [58, 58], ""109"": [110, 110], ""129"": [130, 130]}"
key_ins_full,5406,5336,70,0.9870514243433223,"{""2"": [2221, 2184], ""3"": [1485, 1472], ""4"": [554, 545], ""5"": [408, 402], ""6"": [169, 168], ""7"": [154, 152], ""8"": [162, 162], ""9"": [31, 30], ""10"": [44, 44], ""11"": [60, 60], ""12"": [26, 26], ""13"": [15, 14], ""15"": [16, 16], ""16"": [17, 17], ""21"": [44, 44]}"
key_ins_tail36,7438,7341,97,0.9869588599085776,"{""2"": [1918, 1866], ""3"": [1360, 1340], ""4"": [580, 565], ""5"": [509, 504], ""6"": [281, 280], ""7"": [386, 384], ""8"": [306, 306], ""9"": [191, 190], ""10"": [176, 176], ""11"": [180, 180], ""12"": [130, 130], ""13"": [71, 70], ""14"": [75, 75], ""15"": [144, 144], ""16"": [51, 51], ""17"": [162, 162], ""18"": [95, 95], ""19"": [40, 40], ""20"": [21, 21], ""21"": [88, 88], ""22"": [46, 46], ""23"": [24, 24], ""25"": [26, 26], ""26"": [27, 27], ""27"": [28, 28], ""30"": [31, 31], ""35"": [36, 36], ""47"": [48, 48], ""53"": [54, 54], ""55"": [56, 56], ""57"": [58, 58], ""109"": [110, 110], ""129"": [130, 130]}"
key_body_hex,1003,977,26,0.9740777666999003,"{""2"": [568, 546], ""3"": [177, 176], ""4"": [88, 85], ""5"": [36, 36], ""6"": [42, 42], ""7"": [40, 40], ""8"": [18, 18], ""9"": [20, 20], ""13"": [14, 14]}"
key_len_ins_calls,5662,5285,377,0.9334157541504768,"{""2"": [2139, 1914], ""3"": [1280, 1204], ""4"": [661, 625], ""5"": [404, 390], ""6"": [242, 231], ""7"": [243, 240], ""8"": [202, 198], ""9"": [121, 120], ""10"": [79, 77], ""11"": [48, 48], ""12"": [26, 26], ""13"": [28, 28], ""14"": [1, 0], ""15"": [16, 16], ""16"": [35, 34], ""20"": [64, 63], ""21"": [44, 44], ""22"": [1, 0], ""23"": [1, 0], ""26"": [27, 27]}"
