start,end,cwe,n,n_train,n_test,first_bid,last_bid
0,392,CWE-121,243,141,102,BIN_1258632,BIN_5087643
408,436,CWE-135,28,19,9,BIN_8950290,BIN_6670014
456,498,CWE-121,28,16,12,BIN_5259280,BIN_4751241
499,504,CWE-126,6,2,4,BIN_9951199,BIN_8249526
505,505,CWE-121,1,1,0,BIN_2692299,BIN_2692299
506,511,CWE-126,6,4,2,BIN_3049998,BIN_8681591
512,512,CWE-121,1,1,0,BIN_7110241,BIN_7110241
513,517,CWE-126,5,2,3,BIN_6545696,BIN_3790413
518,519,CWE-121,2,2,0,BIN_8719707,BIN_3350323
520,525,CWE-126,6,3,3,BIN_8264883,BIN_2254329
526,526,CWE-121,1,1,0,BIN_2693860,BIN_2693860
527,528,CWE-126,2,2,0,BIN_8299834,BIN_2971428
529,529,CWE-121,1,1,0,BIN_7939108,BIN_7939108
530,531,CWE-126,2,1,1,BIN_2467926,BIN_5720554
532,4912,CWE-121,2676,1501,1175,BIN_6516479,BIN_2813467
4913,4915,CWE-126,3,2,1,BIN_1812963,BIN_3772631
4916,4918,CWE-121,3,1,2,BIN_1455492,BIN_8878834
4919,4920,CWE-126,2,1,1,BIN_4577138,BIN_5186093
4921,4924,CWE-121,4,3,1,BIN_1874889,BIN_1352160
4925,4926,CWE-126,2,2,0,BIN_1555350,BIN_9672431
4927,4936,CWE-121,10,5,5,BIN_6228034,BIN_6731440
4937,4937,CWE-126,1,1,0,BIN_7419271,BIN_7419271
4938,4942,CWE-121,5,3,2,BIN_3686945,BIN_2449103
4943,4954,CWE-126,12,4,8,BIN_2334733,BIN_2317564
4955,4960,CWE-122,6,5,1,BIN_2073575,BIN_9870703
4961,4966,CWE-126,6,2,4,BIN_6244783,BIN_4860053
4967,4967,CWE-122,1,1,0,BIN_2890346,BIN_2890346
4968,4975,CWE-126,8,1,7,BIN_8227758,BIN_2308106
4976,4976,CWE-122,1,1,0,BIN_4485257,BIN_4485257
4977,4978,CWE-126,2,1,1,BIN_4280528,BIN_6493055
4979,7840,CWE-122,1681,924,757,BIN_3277066,BIN_3181278
7860,7888,CWE-135,28,13,15,BIN_9837273,BIN_2637822
7908,10832,CWE-122,1709,956,753,BIN_2597033,BIN_4188820
10833,10833,CWE-126,1,1,0,BIN_9832796,BIN_9832796
10834,10836,CWE-122,3,1,2,BIN_4198219,BIN_3881198
10837,10837,CWE-126,1,1,0,BIN_1752079,BIN_1752079
10838,10844,CWE-122,7,5,2,BIN_1938615,BIN_4942051
10845,10845,CWE-126,1,1,0,BIN_2396068,BIN_2396068
10846,10846,CWE-122,1,1,0,BIN_7458335,BIN_7458335
10847,10850,CWE-126,4,2,2,BIN_1952368,BIN_9335771
10851,10854,CWE-122,4,3,1,BIN_8437590,BIN_1260116
10855,10859,CWE-126,5,3,2,BIN_4025173,BIN_7508370
10860,10861,CWE-122,2,2,0,BIN_5188774,BIN_1781678
10862,10862,CWE-126,1,1,0,BIN_3937573,BIN_3937573
10863,10863,CWE-122,1,1,0,BIN_5505869,BIN_5505869
10864,10865,CWE-126,2,2,0,BIN_6961271,BIN_8045376
10866,10990,CWE-123,84,41,43,BIN_5521635,BIN_7827710
11010,13042,CWE-124,1228,694,534,BIN_8206923,BIN_2630007
13058,14494,CWE-126,912,520,392,BIN_2388425,BIN_9969008
14510,16542,CWE-127,1228,705,523,BIN_3489999,BIN_5203400
16558,18938,CWE-134,1400,783,617,BIN_9514021,BIN_1371931
18958,18993,CWE-188,36,15,21,BIN_3918710,BIN_1282514
18994,22942,CWE-190,2448,1377,1071,BIN_1606490,BIN_3168527
22954,25894,CWE-191,1860,1044,816,BIN_6848141,BIN_7005351
25906,27038,CWE-194,672,369,303,BIN_1445445,BIN_1293310
27058,28190,CWE-195,672,395,277,BIN_6330929,BIN_8714656
28210,28227,CWE-196,18,7,11,BIN_2513813,BIN_3124360
28228,29072,CWE-197,504,259,245,BIN_1382028,BIN_1801347
29092,30992,CWE-023,1120,636,484,BIN_8386492,BIN_3198952
31012,31029,CWE-242,18,10,8,BIN_2150059,BIN_4945352
31030,31569,CWE-252,540,307,233,BIN_3179941,BIN_4198849
31570,32109,CWE-253,540,301,239,BIN_7568004,BIN_6573861
32110,32127,CWE-364,18,11,7,BIN_1474154,BIN_6963975
32164,32199,CWE-367,36,18,18,BIN_4270185,BIN_4199403
32200,33044,CWE-369,504,283,221,BIN_2660949,BIN_8203602
33064,34964,CWE-036,1120,607,513,BIN_6203055,BIN_1095577
34984,35091,CWE-377,108,54,54,BIN_3607312,BIN_7712857
35092,35181,CWE-390,90,56,34,BIN_9273197,BIN_6066650
35182,35235,CWE-391,54,29,25,BIN_2011998,BIN_6027412
35236,35289,CWE-396,54,29,25,BIN_7681509,BIN_7190407
35291,35308,CWE-397,18,8,10,BIN_4451059,BIN_8391058
35309,35489,CWE-398,181,97,84,BIN_9463034,BIN_3372307
35490,36190,CWE-400,420,227,193,BIN_8921984,BIN_9476561
36210,37848,CWE-401,1032,586,446,BIN_6143462,BIN_2991691
37868,37896,CWE-404,28,18,10,BIN_8832271,BIN_6299331
37916,38856,CWE-415,560,306,254,BIN_2859427,BIN_5413750
38878,39336,CWE-416,398,212,186,BIN_3297563,BIN_4419316
39337,39509,CWE-426,112,67,45,BIN_7732417,BIN_1394325
39529,39989,CWE-427,280,149,131,BIN_8147837,BIN_3475625
