binary_id,sid,cwe,class_count,nearest_same_dist,near_same_count,near_labels,has_cwe_token,tokens,exact_same_near,exact_other_near,entry_line,high_pc,body_len,insn_count,calls
BIN_1000102,7887,CWE-135,24,1,4,CWE-135@7882|CWE-135@7884|CWE-135@7886|CWE-135@7888,False,,False,,34,122,122,31,malloc|exit|wmemset
BIN_1006630,53038,CWE-775,26,1,6,CWE-775@53034|CWE-775@53035|CWE-775@53037|CWE-775@53039|CWE-775@53040|CWE-775@53041,False,,True,,27,55,55,15,
BIN_1028789,46457,CWE-675,31,2,2,CWE-675@46453|CWE-675@46455,True,CWE675_Duplicate_Operations_on_Resource__fopen_45_badData|CWE675_Duplicate_Operations_on_Resource__fopen_45_goodB2GData|CWE675_Duplicate_Operations_on_Resource_,False,,30,77,77,19,fopen|fclose|badsink
BIN_1035625,7876,CWE-135,24,1,5,CWE-135@7871|CWE-135@7877|CWE-135@7878|CWE-135@7880|CWE-135@7881,False,,False,,21,235,235,60,malloc|exit|wmemset|strlen|calloc|exit|wcscpy|printline|free
BIN_1036896,42532,CWE-588,22,2,6,CWE-588@42527|CWE-588@42528|CWE-588@42529|CWE-588@42534|CWE-588@42535|CWE-588@42537,True,CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__class_18|CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__class_1810entry_goodEv|CWE588_Attempt,True,,-1,-1,59,17,printintline
BIN_1094598,41914,CWE-546,35,2,3,CWE-546@41910|CWE-546@41912|CWE-546@41918,False,,True,,17,30,30,10,printline
BIN_1105650,46578,CWE-676,9,3,4,CWE-676@46574|CWE-676@46575|CWE-676@46581|CWE-676@46582,True,CWE676_Use_of_Potentially_Dangerous_Function__basic_06|CWE676_Use_of_Potentially_Dangerous_Function__basic_0610entry_goodEv|CWE676_Use_of_Potentially_Dangerous_,True,,-1,-1,50,15,.text$_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|printline
BIN_1127912,42526,CWE-588,22,1,5,CWE-588@42523|CWE-588@42525|CWE-588@42527|CWE-588@42528|CWE-588@42529,True,CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__class_12|CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__class_1210entry_goodEv|CWE588_Attempt,False,,-1,-1,82,24,globalreturnstrueorfalse|printintline
BIN_1171041,41900,CWE-546,35,1,6,CWE-546@41895|CWE-546@41898|CWE-546@41899|CWE-546@41901|CWE-546@41902|CWE-546@41904,False,,False,,22,41,41,13,printline
BIN_1177863,35192,CWE-391,25,1,6,CWE-391@35187|CWE-391@35188|CWE-391@35193|CWE-391@35194|CWE-391@35196|CWE-391@35197,False,,False,,21,64,64,18,globalreturnstrue|sqrt|printdoubleline
BIN_1267373,35155,CWE-390,34,1,5,CWE-390@35150|CWE-390@35151|CWE-390@35154|CWE-390@35158|CWE-390@35159,False,,True,,17,74,74,20,fopen|fclose
BIN_1278321,35186,CWE-391,25,1,4,CWE-391@35184|CWE-391@35185|CWE-391@35187|CWE-391@35188,False,,True,,27,65,65,18,sqrt|printdoubleline
BIN_1282514,18993,CWE-188,21,1,4,CWE-188@18988|CWE-188@18989|CWE-188@18991|CWE-188@18992|CWE-190@18996|CWE-190@18997,False,,True,,17,43,43,15,printintline
BIN_1287386,53045,CWE-775,26,1,6,CWE-775@53040|CWE-775@53041|CWE-775@53044|CWE-775@53046|CWE-775@53047|CWE-775@53050,False,,True,,27,56,56,16,
BIN_1288419,41659,CWE-483,9,1,3,CWE-483@41654|CWE-483@41656|CWE-483@41660|CWE-484@41663,False,,True,,17,111,111,33,rand|printline|printline
BIN_1298507,41173,CWE-475,18,1,7,CWE-469@41168|CWE-475@41169|CWE-475@41171|CWE-475@41172|CWE-475@41174|CWE-475@41175|CWE-475@41177|CWE-475@41178,False,,True,,25,247,247,44,memcpy|printline
