target,split,binary_id,sid,cwe,entry_line,high_pc,var_lines,ptr_sig,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,calls,preview
BIN_2003503,train,BIN_5652161,10973,CWE-123,52,621,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|61|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|147|148|149|150|151,621,120,12,14,26637ce1344f1bf4,96f6040320734a17,globalreturnstrueorfalse|memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_2003503,train,BIN_9135511,10974,CWE-123,52,626,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|61|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|142|143|144|145|146,626,121,11,14,1ce16ac7fe70915f,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_2003503,train,BIN_1263252,10977,CWE-123,52,609,54|55|65|66|68|69|70|71,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|55|57|58|59|60|66|70|71|75|79|81|82|86|87|88|89|90|94|98|99|105|77|84|92|96|101|112|114|116|118|121|123|127|143|144|145|146|147,609,118,11,13,285b345985349d02,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_2003503,train,BIN_7187977,10978,CWE-123,52,643,54|55|56|66|67|69|70|71|72,i:0|data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,53|56|58|59|60|61|62|67|71|72|76|80|82|83|87|88|89|90|91|95|99|100|106|78|85|93|97|102|113|115|117|119|122|124|62|143|144|145|146|147,643,122,11,15,e6e499cb1a3f5ca6,96f6040320734a17,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp"
BIN_2003503,test,BIN_2003503,10983,CWE-123,52,720,54|55|56|57|64|67|68|70|71|72|73|132,data:0|dataPtr1:1|dataPtr2:1|head:0|data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|data:0,53|55|56|57|59|60|61|62|64|68|72|73|77|81|83|84|88|89|90|91|92|96|100|101|107|79|86|94|98|103|114|116|118|120|123|125|129|132|147|148|149|150|152,720,136,11,13,7a0aeb0c20d8bd5f,e818474f9b89ce5f,memset,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:rax,qwordptr_[rbp+N] mov:qwordptr_[rbp+N],rax m"
BIN_2003503,train,BIN_3191889,10988,CWE-123,-1,-1,,,,132,32,1,0,c568c4034c30412b,90c064901390691a,_zn51cwe123_write_what_where_condition__listen_socket_43l9badsourceer10_badstruct,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax lea:rax,[rbp-N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:qwordptr_[rbp-8],rax lea:rax,[rbp-N] mov:qwordptr_[rbp-N],"
BIN_3940409,train,BIN_4330461,41128,CWE-468,17,127,22|23|26,intArray:0|intPointer:1|toPrint:0,18|19|22|23|26|27|30,127,29,1,1,07d3344788b36d8d,d35fe08b53986cb6,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:rax,qwordptr_[rip+N] mov:eax,dwordptr_[rax] cmp:eax,5 jne:N mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp"
BIN_3940409,train,BIN_9734886,41129,CWE-468,17,114,23|24|27,intArray:0|intPointer:1|toPrint:0,18|23|24|27|28|30|36,114,26,1,0,ae1a74931404901e,d35fe08b53986cb6,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dwordptr_[rbp-N],9 mov:dwordptr"
BIN_3940409,train,BIN_6747213,41131,CWE-468,17,133,19|23|24|27,j:0|intArray:0|intPointer:1|toPrint:0,18|20|23|24|27|28|20|31,133,31,1,2,949590ded4836834,bdabbd9accfd2f55,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dw"
BIN_3940409,train,BIN_1492244,41132,CWE-468,17,114,22|23|26,intArray:0|intPointer:1|toPrint:0,18|19|22|23|26|27|29,114,26,1,0,cf402597f31096c9,d35fe08b53986cb6,printintline,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:dwordptr_[rbp-N],1 mov:dwordptr_[rbp-N],2 mov:dwordptr_[rbp-N],3 mov:dwordptr_[rbp-N],4 mov:dwordptr_[rbp-N],5 mov:dwordptr_[rbp-N],6 mov:dwordptr_[rbp-N],7 mov:dwordptr_[rbp-N],8 mov:dwordptr_[rbp-N],9 mov:dwo"
