binary_id,sid,s15,k,majority,maj_count,counts
BIN_1105650,46578,CWE-676,11,CWE-675,9,"{'CWE-675': 9, 'CWE-676': 9, 'CWE-680': 4}"
BIN_1421038,4959,CWE-122,7,CWE-126,7,"{'CWE-126': 7, 'CWE-122': 7}"
BIN_1792787,42485,CWE-571,11,CWE-570,9,"{'CWE-570': 9, 'CWE-571': 8, 'CWE-587': 5}"
BIN_1802324,54038,CWE-078,3,CWE-789,3,"{'CWE-789': 3, 'CWE-078': 3}"
BIN_1802324,54038,CWE-078,5,CWE-789,5,"{'CWE-789': 5, 'CWE-078': 5}"
BIN_1802324,54038,CWE-078,7,CWE-789,7,"{'CWE-789': 7, 'CWE-078': 7}"
BIN_1802324,54038,CWE-078,11,CWE-789,11,"{'CWE-789': 11, 'CWE-078': 11}"
BIN_1812963,4913,CWE-126,3,CWE-121,4,"{'CWE-121': 4, 'CWE-126': 2}"
BIN_1812963,4913,CWE-126,5,CWE-121,7,"{'CWE-121': 7, 'CWE-126': 3}"
BIN_1812963,4913,CWE-126,7,CWE-121,11,"{'CWE-121': 11, 'CWE-126': 3}"
BIN_1812963,4913,CWE-126,11,CWE-121,17,"{'CWE-121': 17, 'CWE-126': 5}"
BIN_2223041,41576,CWE-479,11,CWE-478,8,"{'CWE-478': 8, 'CWE-479': 8, 'CWE-480': 6}"
BIN_2280331,46576,CWE-676,11,CWE-675,9,"{'CWE-675': 9, 'CWE-676': 9, 'CWE-680': 4}"
BIN_2302511,28218,CWE-196,11,CWE-197,8,"{'CWE-195': 7, 'CWE-196': 7, 'CWE-197': 8}"
BIN_2597033,7908,CWE-122,3,CWE-135,3,"{'CWE-135': 3, 'CWE-122': 3}"
BIN_2597033,7908,CWE-122,5,CWE-135,5,"{'CWE-135': 5, 'CWE-122': 5}"
BIN_2597033,7908,CWE-122,7,CWE-135,7,"{'CWE-135': 7, 'CWE-122': 7}"
BIN_2597033,7908,CWE-122,11,CWE-135,11,"{'CWE-135': 11, 'CWE-122': 11}"
BIN_2693713,42494,CWE-571,11,CWE-587,9,"{'CWE-570': 5, 'CWE-571': 8, 'CWE-587': 9}"
BIN_2789041,33065,CWE-036,3,CWE-369,3,"{'CWE-369': 3, 'CWE-036': 3}"
BIN_2789041,33065,CWE-036,5,CWE-369,5,"{'CWE-369': 5, 'CWE-036': 5}"
BIN_2789041,33065,CWE-036,7,CWE-369,7,"{'CWE-369': 7, 'CWE-036': 7}"
BIN_2789041,33065,CWE-036,11,CWE-369,11,"{'CWE-369': 11, 'CWE-036': 11}"
BIN_2833325,48170,CWE-758,3,CWE-690,3,"{'CWE-690': 3, 'CWE-758': 3}"
BIN_2833325,48170,CWE-758,5,CWE-690,5,"{'CWE-690': 5, 'CWE-758': 5}"
BIN_2833325,48170,CWE-758,7,CWE-690,7,"{'CWE-690': 7, 'CWE-758': 7}"
BIN_2833325,48170,CWE-758,11,CWE-690,11,"{'CWE-690': 11, 'CWE-758': 11}"
BIN_2861522,46573,CWE-676,3,CWE-675,3,"{'CWE-675': 3, 'CWE-676': 3}"
BIN_2861522,46573,CWE-676,5,CWE-675,5,"{'CWE-675': 5, 'CWE-676': 5}"
