binary_id,sid,kind,s15,nearest_same_kind,dist,nearest_sid,nearest_bid
BIN_8249526,504,wrapper,CWE-126,CWE-121,1,505,BIN_2692299
BIN_3049998,506,wrapper,CWE-126,CWE-121,1,505,BIN_2692299
BIN_6545696,513,wrapper,CWE-126,CWE-121,1,512,BIN_7110241
BIN_3790413,517,wrapper,CWE-126,CWE-121,1,518,BIN_8719707
BIN_8264883,520,wrapper,CWE-126,CWE-121,1,519,BIN_3350323
BIN_2254329,525,wrapper,CWE-126,CWE-121,1,526,BIN_2693860
BIN_1812963,4913,wrapper,CWE-126,CWE-121,1,4912,BIN_2813467
BIN_1455492,4916,wrapper,CWE-121,CWE-126,1,4915,BIN_3772631
BIN_4577138,4919,wrapper,CWE-126,CWE-121,1,4918,BIN_8878834
BIN_2334733,4943,wrapper,CWE-126,CWE-121,1,4942,BIN_2449103
BIN_6244783,4961,wrapper,CWE-126,CWE-122,1,4960,BIN_9870703
BIN_8227758,4968,wrapper,CWE-126,CWE-122,1,4967,BIN_2890346
BIN_4280528,4977,wrapper,CWE-126,CWE-122,1,4976,BIN_4485257
BIN_4198219,10834,wrapper,CWE-122,CWE-126,1,10833,BIN_9832796
BIN_1938615,10838,wrapper,CWE-122,CWE-126,1,10837,BIN_1752079
BIN_9335771,10850,wrapper,CWE-126,CWE-122,1,10851,BIN_8437590
BIN_4025173,10855,wrapper,CWE-126,CWE-122,1,10854,BIN_1260116
BIN_4184059,40994,wrapper,CWE-464,CWE-459,1,40993,BIN_4599756
BIN_6537894,41133,wrapper,CWE-469,CWE-468,1,41132,BIN_1492244
BIN_5474899,41589,wrapper,CWE-480,CWE-479,1,41588,BIN_5739603
BIN_3584569,41625,wrapper,CWE-482,CWE-481,1,41624,BIN_6664466
BIN_4390572,41662,wrapper,CWE-483,CWE-484,1,41663,BIN_9717506
BIN_4865561,42497,wrapper,CWE-587,CWE-571,1,42496,BIN_9702897
BIN_2902601,4969,wrapper,CWE-126,CWE-122,2,4967,BIN_2890346
BIN_1606490,18994,wrapper,CWE-190,CWE-188,2,18992,BIN_3097684
BIN_7190407,35289,injected,CWE-396,CWE-397,2,35291,BIN_4451059
BIN_3711506,41950,wrapper,CWE-562,CWE-561,2,41948,BIN_5614966
BIN_4615687,4970,wrapper,CWE-126,CWE-122,3,4967,BIN_2890346
BIN_3719174,4971,wrapper,CWE-126,CWE-122,4,4967,BIN_2890346
BIN_3228938,41952,wrapper,CWE-562,CWE-561,4,41948,BIN_5614966
BIN_7740182,42575,injected,CWE-588,CWE-590,20,42595,BIN_7323744
BIN_3522777,29070,injected,CWE-197,CWE-023,23,29093,BIN_9271816
BIN_1829591,46613,injected,CWE-680,CWE-676,23,46590,BIN_2676082
BIN_5888426,33042,injected,CWE-369,CWE-036,24,33066,BIN_2885684
BIN_6862273,29066,injected,CWE-197,CWE-023,27,29093,BIN_9271816
BIN_8364517,46617,injected,CWE-680,CWE-676,27,46590,BIN_2676082
BIN_2144172,33038,injected,CWE-369,CWE-036,28,33066,BIN_2885684
BIN_2742636,38896,injected,CWE-416,CWE-415,40,38856,BIN_5413750
BIN_3189861,36188,injected,CWE-400,CWE-401,44,36232,BIN_1846998
BIN_4605160,45255,injected,CWE-590,CWE-606,60,45315,BIN_4018400
BIN_2185151,56002,injected,CWE-843,CWE-078,66,55936,BIN_7218561
BIN_6489896,56042,injected,CWE-843,CWE-078,106,55936,BIN_7218561
