binary_id,sid,s15,nearest,dist,nearest_sid,nearest_bid
BIN_8249526,504,CWE-126,CWE-121,1,505,BIN_2692299
BIN_3049998,506,CWE-126,CWE-121,1,505,BIN_2692299
BIN_6545696,513,CWE-126,CWE-121,1,512,BIN_7110241
BIN_3790413,517,CWE-126,CWE-121,1,518,BIN_8719707
BIN_8264883,520,CWE-126,CWE-121,1,519,BIN_3350323
BIN_2254329,525,CWE-126,CWE-121,1,526,BIN_2693860
BIN_1812963,4913,CWE-126,CWE-121,1,4912,BIN_2813467
BIN_1455492,4916,CWE-121,CWE-126,1,4915,BIN_3772631
BIN_4577138,4919,CWE-126,CWE-121,1,4918,BIN_8878834
BIN_2334733,4943,CWE-126,CWE-121,1,4942,BIN_2449103
BIN_6244783,4961,CWE-126,CWE-122,1,4960,BIN_9870703
BIN_8227758,4968,CWE-126,CWE-122,1,4967,BIN_2890346
BIN_4280528,4977,CWE-126,CWE-122,1,4976,BIN_4485257
BIN_4198219,10834,CWE-122,CWE-126,1,10833,BIN_9832796
BIN_1938615,10838,CWE-122,CWE-126,1,10837,BIN_1752079
BIN_9335771,10850,CWE-126,CWE-122,1,10851,BIN_8437590
BIN_4025173,10855,CWE-126,CWE-122,1,10854,BIN_1260116
BIN_9273197,35092,CWE-390,CWE-377,1,35091,BIN_7712857
BIN_7681509,35236,CWE-396,CWE-391,1,35235,BIN_6027412
BIN_4184059,40994,CWE-464,CWE-459,1,40993,BIN_4599756
BIN_6537894,41133,CWE-469,CWE-468,1,41132,BIN_1492244
BIN_5474899,41589,CWE-480,CWE-479,1,41588,BIN_5739603
BIN_3584569,41625,CWE-482,CWE-481,1,41624,BIN_6664466
BIN_4390572,41662,CWE-483,CWE-484,1,41663,BIN_9717506
BIN_4865561,42497,CWE-587,CWE-571,1,42496,BIN_9702897
BIN_8596009,42515,CWE-588,CWE-587,1,42514,BIN_8795417
BIN_2902601,4969,CWE-126,CWE-122,2,4967,BIN_2890346
BIN_1606490,18994,CWE-190,CWE-188,2,18992,BIN_3097684
BIN_7190407,35289,CWE-396,CWE-397,2,35291,BIN_4451059
BIN_4615687,4970,CWE-126,CWE-122,3,4967,BIN_2890346
BIN_3719174,4971,CWE-126,CWE-122,4,4967,BIN_2890346
