binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est,group,clf_pred,clf_prob,old_prob,new_prob
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,s17b,CWE-126,0.5372845486998116,0.5372845486998116,0.374051535976619
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,s17b,CWE-126,0.5704856308465035,0.39120375550904923,0.5704856308465035
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,s17b,CWE-126,0.5872773913705549,0.5872773913705549,0.25445296265003814
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,s17b,CWE-122,0.4689020555656579,0.4677479329964677,0.4689020555656579
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,s17b,CWE-126,0.5661667302698059,0.5661667302698059,0.3363893306341252
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05,s17b,CWE-126,0.5470886293759869,0.5470886293759869,0.42498599181687546
BIN_8249526,504,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,s17b,CWE-126,0.5508863158246495,0.5508863158246495,0.4070517709191099
BIN_8264883,520,1,CWE-126,1,CWE-121,,519,BIN_3350323,1,1.7772454670776952e-05,s17b,CWE-126,0.62166818386666,0.62166818386666,0.27975897167584146
BIN_1455492,4916,1,CWE-121,1,CWE-126,,4915,BIN_3772631,1,1.774492225074984e-05,s17b,CWE-126,0.5703563885767584,0.3638190320165287,0.5703563885767584
BIN_2254329,525,1,CWE-126,1,CWE-121,,526,BIN_2693860,1,1.7772454670776952e-05,s17b,CWE-126,0.8127148372524693,0.8127148372524693,0.09141090751143578
BIN_2334733,4943,1,CWE-126,1,CWE-121,,4942,BIN_2449103,1,1.7772454670776952e-05,s17b,CWE-126,0.6510797152693882,0.6510797152693882,0.2855989308776727
BIN_2902601,4969,1,CWE-126,1,CWE-122,,4967,BIN_2890346,2,1.7139617781506015e-05,s17b,CWE-126,0.5947640467457367,0.5947640467457367,0.37937381259664765
BIN_3790413,517,1,CWE-126,1,CWE-121,,518,BIN_8719707,1,1.7772454670776952e-05,s17b,CWE-126,0.6637864788203407,0.6637864788203407,0.2522262307231254
BIN_4198219,10834,1,CWE-122,1,CWE-126,,10833,BIN_9832796,1,1.7111180103647243e-05,s17b,CWE-122,0.5139525209537557,0.5139525209537557,0.384882621777239
BIN_4280528,4977,1,CWE-126,1,CWE-122,,4976,BIN_4485257,1,1.7139617781506015e-05,s17b,CWE-126,0.5973760348907795,0.5973760348907795,0.32252185869077826
BIN_4860053,4966,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,s17b,CWE-122,0.44716061463277923,0.4412006413735112,0.44716061463277923
BIN_4942051,10844,1,CWE-122,1,CWE-126,,10845,BIN_2396068,1,1.7111180103647243e-05,s17b,CWE-122,0.4980364134189617,0.4980364134189617,0.46763249277225044
BIN_8227758,4968,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,s17b,CWE-126,0.5448647416935669,0.5448647416935669,0.41577800533298753
BIN_9335771,10850,1,CWE-126,1,CWE-122,,10851,BIN_8437590,1,1.7139617781506015e-05,s17b,CWE-126,0.5280541306808731,0.5280541306808731,0.39532304084342845
BIN_3124360,28227,1,CWE-196,1,CWE-197,wrapper,28228,BIN_1382028,1,,extra,CWE-122,0.5064120394280964,,
BIN_4184059,40994,1,CWE-464,1,CWE-459,wrapper,40993,BIN_4599756,1,,extra,CWE-121,0.6265716212505463,,
BIN_4198849,31569,1,CWE-252,1,CWE-253,wrapper,31570,BIN_7568004,1,,extra,CWE-121,0.8730054902604819,,
BIN_4390572,41662,1,CWE-483,1,CWE-484,wrapper,41663,BIN_9717506,1,,extra,CWE-121,0.7759561739556339,,
BIN_5472113,47238,1,CWE-685,1,CWE-688,wrapper,47240,BIN_4473406,2,,extra,CWE-121,0.5010648605563499,,
BIN_5474899,41589,1,CWE-480,1,CWE-479,wrapper,41588,BIN_5739603,1,,extra,CWE-121,0.6846991182135184,,
BIN_1606490,18994,1,CWE-190,1,CWE-188,wrapper,18992,BIN_3097684,2,,extra,CWE-121,0.6542939653803441,,
BIN_5190087,47220,1,CWE-681,1,CWE-685,wrapper,47221,BIN_4248613,1,,extra,CWE-126,0.738047067328741,,
BIN_6066650,35181,1,CWE-390,1,CWE-391,wrapper,35184,BIN_1225491,3,,extra,CWE-121,0.5020466167118963,,
BIN_6537894,41133,1,CWE-469,1,CWE-468,wrapper,41132,BIN_1492244,1,,extra,CWE-121,0.5605413449050823,,
BIN_7190407,35289,1,CWE-396,1,CWE-397,injected,35291,BIN_4451059,2,,extra,CWE-126,0.8094799949032037,,
BIN_7681509,35236,1,CWE-396,1,CWE-391,injected,35235,BIN_6027412,1,,extra,CWE-126,0.8669137801003131,,
BIN_8993957,55981,1,CWE-835,1,CWE-843,wrapper,55982,BIN_4568804,1,,extra,CWE-121,0.5134827662774072,,
