binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est,entry_line,high_pc,var_count,var_lines,var_line_min,var_line_delta_min,ptr_sig,struct_size_sig,member_sig,has_j,has_structCharVoid,char_first_type,line_seq,line_seq_compact,line_delta_seq,line_count,line_unique_count,model,dwarf_pred,dwarf_prob,prob_CWE-121,prob_CWE-122,prob_CWE-126
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,36,103,1,41,41,5,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],37|38|38|42|44|44|46|47|48|49|49|52,37|38|42|44|46|47|48|49|52,1|2|6|8|10|11|12|13|16,12,9,ExtraTrees,CWE-126,0.985,0.015,0.0,0.985
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,36,103,1,41,41,5,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],37|38|38|42|44|44|46|47|48|49|49|52,37|38|42|44|46|47|48|49|52,1|2|6|8|10|11|12|13|16,12,9,RandomForest,CWE-126,0.7130347897314806,0.2769652102685193,0.01,0.7130347897314806
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,30,169,1,35,35,5,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],31|32|32|35|36|36|37|39|39|41|41|42|43|43|44|44|45|48,31|32|35|36|37|39|41|42|43|44|45|48,1|2|5|6|7|9|11|12|13|14|15|18,18,12,ExtraTrees,CWE-122,1.0,0.0,1.0,0.0
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,30,169,1,35,35,5,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],31|32|32|35|36|36|37|39|39|41|41|42|43|43|44|44|45|48,31|32|35|36|37|39|41|42|43|44|45|48,1|2|5|6|7|9|11|12|13|14|15|18,18,12,RandomForest,CWE-122,0.99,0.0,0.99,0.01
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,31,100,1,36,36,5,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,0,1,char[16],32|33|33|37|39|39|41|42|43|44|44|47,32|33|37|39|41|42|43|44|47,1|2|6|8|10|11|12|13|16,12,9,ExtraTrees,CWE-121,0.99,0.99,0.0,0.01
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,31,100,1,36,36,5,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,0,1,char[16],32|33|33|37|39|39|41|42|43|44|44|47,32|33|37|39|41|42|43|44|47,1|2|6|8|10|11|12|13|16,12,9,RandomForest,CWE-121,0.5862505592841163,0.5862505592841163,0.0,0.41374944071588365
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,43,195,1,48,48,5,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],44|45|45|48|49|49|50|52|52|54|54|55|56|56|57|57|60,44|45|48|49|50|52|54|55|56|57|60,1|2|5|6|7|9|11|12|13|14|17,17,11,ExtraTrees,CWE-126,0.515,0.015,0.47,0.515
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,43,195,1,48,48,5,structCharVoid:1,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,0,1,short unsigned int[16],44|45|45|48|49|49|50|52|52|54|54|55|56|56|57|57|60,44|45|48|49|50|52|54|55|56|57|60,1|2|5|6|7|9|11|12|13|14|17,17,11,RandomForest,CWE-122,0.575,0.05,0.575,0.375
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,30,189,1,35,35,5,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,0,1,char[16],31|32|32|35|36|36|37|39|39|41|41|42|43|43|44|44|47,31|32|35|36|37|39|41|42|43|44|47,1|2|5|6|7|9|11|12|13|14|17,17,11,ExtraTrees,CWE-126,0.99,0.0,0.01,0.99
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,30,189,1,35,35,5,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,0,1,char[16],31|32|32|35|36|36|37|39|39|41|41|42|43|43|44|44|47,31|32|35|36|37|39|41|42|43|44|47,1|2|5|6|7|9|11|12|13|14|17,17,11,RandomForest,CWE-126,0.775,0.0,0.225,0.775
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05,30,151,1,35,35,5,structCharVoid:1,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,0,1,char[16],31|32|35|36|36|37|39|39|41|41|42|43|43|44|44|45|47,31|32|35|36|37|39|41|42|43|44|45|47,1|2|5|6|7|9|11|12|13|14|15|17,17,12,ExtraTrees,CWE-126,0.7437494407158838,0.0062505592841163304,0.25,0.7437494407158838
