binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05
BIN_3124360,28227,1,CWE-196,1,CWE-197,,28228,BIN_1382028,1,0.0005707552585844611
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05
BIN_4198849,31569,1,CWE-252,1,CWE-253,,31570,BIN_7568004,1,4.871517593841895e-05
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05
BIN_8249526,504,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05
BIN_8264883,520,1,CWE-126,1,CWE-121,,519,BIN_3350323,1,1.7772454670776952e-05
BIN_1455492,4916,1,CWE-121,1,CWE-126,,4915,BIN_3772631,1,1.774492225074984e-05
BIN_1606490,18994,1,CWE-190,1,CWE-188,,18992,BIN_3097684,2,0.0002726768438554266
BIN_2254329,525,1,CWE-126,1,CWE-121,,526,BIN_2693860,1,1.7772454670776952e-05
BIN_2334733,4943,1,CWE-126,1,CWE-121,,4942,BIN_2449103,1,1.7772454670776952e-05
BIN_2902601,4969,1,CWE-126,1,CWE-122,,4967,BIN_2890346,2,1.7139617781506015e-05
BIN_3790413,517,1,CWE-126,1,CWE-121,,518,BIN_8719707,1,1.7772454670776952e-05
BIN_4198219,10834,1,CWE-122,1,CWE-126,,10833,BIN_9832796,1,1.7111180103647243e-05
BIN_4280528,4977,1,CWE-126,1,CWE-122,,4976,BIN_4485257,1,1.7139617781506015e-05
BIN_4860053,4966,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05
BIN_4942051,10844,1,CWE-122,1,CWE-126,,10845,BIN_2396068,1,1.7111180103647243e-05
BIN_6066650,35181,1,CWE-390,1,CWE-391,,35184,BIN_1225491,3,0.00039693352036302695
BIN_7681509,35236,1,CWE-396,1,CWE-391,,35235,BIN_6027412,1,0.00045995409658116195
BIN_8227758,4968,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05
BIN_9335771,10850,1,CWE-126,1,CWE-122,,10851,BIN_8437590,1,1.7139617781506015e-05
