binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist
BIN_1812963,4913,1,CWE-126,1,CWE-121,wrapper,4912,BIN_2813467,1
BIN_1829591,46613,1,CWE-680,1,CWE-676,injected,46590,BIN_2676082,23
BIN_1938615,10838,1,CWE-122,1,CWE-126,wrapper,10837,BIN_1752079,1
BIN_2144172,33038,1,CWE-369,1,CWE-036,injected,33066,BIN_2885684,28
BIN_2185151,56002,1,CWE-843,1,CWE-078,injected,55936,BIN_7218561,66
BIN_3049998,506,1,CWE-126,1,CWE-121,wrapper,505,BIN_2692299,1
BIN_3124360,28227,1,CWE-196,1,CWE-197,wrapper,28228,BIN_1382028,1
BIN_3189861,36188,1,CWE-400,1,CWE-401,injected,36232,BIN_1846998,44
BIN_4025173,10855,1,CWE-126,1,CWE-122,wrapper,10854,BIN_1260116,1
BIN_4184059,40994,1,CWE-464,1,CWE-459,wrapper,40993,BIN_4599756,1
BIN_4198849,31569,1,CWE-252,1,CWE-253,wrapper,31570,BIN_7568004,1
BIN_4390572,41662,1,CWE-483,1,CWE-484,wrapper,41663,BIN_9717506,1
BIN_4615687,4970,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,3
BIN_5472113,47238,1,CWE-685,1,CWE-688,wrapper,47240,BIN_4473406,2
BIN_5474899,41589,1,CWE-480,1,CWE-479,wrapper,41588,BIN_5739603,1
BIN_6244783,4961,1,CWE-126,1,CWE-122,wrapper,4960,BIN_9870703,1
BIN_6862273,29066,1,CWE-197,1,CWE-023,injected,29093,BIN_9271816,27
BIN_8249526,504,1,CWE-126,1,CWE-121,wrapper,505,BIN_2692299,1
BIN_8264883,520,1,CWE-126,1,CWE-121,wrapper,519,BIN_3350323,1
BIN_1455492,4916,1,CWE-121,1,CWE-126,wrapper,4915,BIN_3772631,1
BIN_1606490,18994,1,CWE-190,1,CWE-188,wrapper,18992,BIN_3097684,2
BIN_2254329,525,1,CWE-126,1,CWE-121,wrapper,526,BIN_2693860,1
BIN_2334733,4943,1,CWE-126,1,CWE-121,wrapper,4942,BIN_2449103,1
BIN_2742636,38896,1,CWE-416,1,CWE-415,injected,38856,BIN_5413750,40
BIN_2902601,4969,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,2
BIN_3228938,41952,1,CWE-562,1,CWE-561,wrapper,41948,BIN_5614966,4
BIN_3522777,29070,1,CWE-197,1,CWE-023,injected,29093,BIN_9271816,23
BIN_3711506,41950,1,CWE-562,1,CWE-561,wrapper,41948,BIN_5614966,2
BIN_3790413,517,1,CWE-126,1,CWE-121,wrapper,518,BIN_8719707,1
BIN_4198219,10834,1,CWE-122,1,CWE-126,wrapper,10833,BIN_9832796,1
BIN_4280528,4977,1,CWE-126,1,CWE-122,wrapper,4976,BIN_4485257,1
BIN_4605160,45255,1,CWE-590,1,CWE-606,injected,45315,BIN_4018400,60
BIN_4860053,4966,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,1
BIN_4942051,10844,1,CWE-122,1,CWE-126,wrapper,10845,BIN_2396068,1
BIN_5190087,47220,1,CWE-681,1,CWE-685,wrapper,47221,BIN_4248613,1
BIN_5888426,33042,1,CWE-369,1,CWE-036,injected,33066,BIN_2885684,24
BIN_6066650,35181,1,CWE-390,1,CWE-391,wrapper,35184,BIN_1225491,3
BIN_6489896,56042,1,CWE-843,1,CWE-078,injected,55936,BIN_7218561,106
BIN_6537894,41133,1,CWE-469,1,CWE-468,wrapper,41132,BIN_1492244,1
BIN_7190407,35289,1,CWE-396,1,CWE-397,injected,35291,BIN_4451059,2
BIN_7740182,42575,1,CWE-588,1,CWE-590,injected,42595,BIN_7323744,20
BIN_8227758,4968,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,1
BIN_8364517,46617,1,CWE-680,1,CWE-676,injected,46590,BIN_2676082,27
BIN_8993957,55981,1,CWE-835,1,CWE-843,wrapper,55982,BIN_4568804,1
BIN_9335771,10850,1,CWE-126,1,CWE-122,wrapper,10851,BIN_8437590,1
BIN_9882891,36184,1,CWE-400,1,CWE-401,injected,36232,BIN_1846998,48
