binary_id,sid,cur,s17n,s17c,s17d,s17k,neighbors,token,entry_line,high_pc,var_lines,ptr_sig,body_len,insn_count,calls,fixed_pred,fixed_key,fixed_support,preview
BIN_4198849,31569,CWE-252,CWE-253,CWE-253,CWE-253,CWE-253,CWE-252@31568/d1/BIN_8200107 ; CWE-253@31570/d1/BIN_7568004 ; CWE-252@31566/d3/BIN_3377163 ; CWE-253@31572/d3/BIN_3220730 ; CWE-253@31573/d4/BIN_7458654 ; CWE-252@31564/d5/BIN_9722722,,23,292,30|31,dataBuffer:0|data:1,292,41,swscanf,,,,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:qw"
BIN_1606490,18994,CWE-190,CWE-188,CWE-188,CWE-188,CWE-188,CWE-188@18992/d2/BIN_3097684 ; CWE-190@18996/d2/BIN_5477929 ; CWE-188@18991/d3/BIN_8866122 ; CWE-190@18997/d3/BIN_2843151 ; CWE-188@18989/d5/BIN_8447356 ; CWE-188@18988/d6/BIN_1257436,,19,79,21|27,data:0|result:0,79,23,fscanf|printhexcharline,,,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax"
BIN_6066650,35181,CWE-390,CWE-391,CWE-391,CWE-391,CWE-391,CWE-390@35178/d3/BIN_8273378 ; CWE-391@35184/d3/BIN_1225491 ; CWE-390@35177/d4/BIN_7070425 ; CWE-391@35185/d4/BIN_1792846 ; CWE-391@35187/d6/BIN_1134601 ; CWE-391@35188/d7/BIN_6073377,,20,80,25,doubleNumber:0,80,21,sqrt|printdoubleline,,,,"push:rbp mov:rbp,rsp sub:rsp,N nop: mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rax],0 mov:rax,qwordptr_[rip+N] movq:xmm0,rax call:N movq:rax,xmm0 mov:qwordptr_[rbp-8],rax mov:"
BIN_3124360,28227,CWE-196,CWE-197,CWE-196,CWE-197,CWE-197,CWE-196@28226/d1/BIN_8474332 ; CWE-197@28228/d1/BIN_1382028 ; CWE-197@28231/d4/BIN_9361451 ; CWE-197@28232/d5/BIN_2098496 ; CWE-197@28233/d6/BIN_8404510 ; CWE-196@28220/d7/BIN_6698396,,17,55,22|23,intUnsigned:0|intSigned:0,55,20,rand|rand|printintline,,,,"push:rbp mov:rbp,rsp sub:rsp,N nop: call:N mov:dwordptr_[rbp-4],eax call:N and:eax,1 test:eax,eax jne:N not:dwordptr_[rbp-4] mov:eax,dwordptr_[rbp-4] mov:dwordptr_[rbp-8],eax mov:e"
BIN_4184059,40994,CWE-464,CWE-459,CWE-464,CWE-464,CWE-459,CWE-459@40993/d1/BIN_4599756 ; CWE-459@40992/d2/BIN_2074684 ; CWE-464@40996/d2/BIN_2162526 ; CWE-459@40991/d3/BIN_2651530 ; CWE-459@40990/d4/BIN_6460197 ; CWE-464@40998/d4/BIN_9993716,,18,94,20|23|31,data:0|charArraySource:0|charArraySink:0,94,27,getc|atoi|printline,,,,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-1],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax call:N mov:byteptr_[rbp-3],al mov:byteptr_[rbp-2],0 lea:rax,[rbp-3] mov"
BIN_4390572,41662,CWE-483,CWE-484,CWE-483,CWE-483,CWE-484,CWE-484@41663/d1/BIN_9717506 ; CWE-483@41660/d2/BIN_8583996 ; CWE-484@41665/d3/BIN_4362207 ; CWE-483@41656/d6/BIN_3422531 ; CWE-484@41668/d6/BIN_9467874 ; CWE-484@41669/d7/BIN_1665730,,17,111,22|23,x:0|y:0,111,33,rand|printline|printline,,,,"push:rbp mov:rbp,rsp sub:rsp,N nop: call:N mov:edx,eax movsxd:rax,edx imul:rax,rax,N shr:rax,N mov:ecx,edx sar:ecx,N sub:eax,ecx mov:dwordptr_[rbp-4],eax mov:ecx,dwordptr_[rbp-4] m"
BIN_5474899,41589,CWE-480,CWE-479,CWE-480,CWE-480,CWE-479,CWE-479@41588/d1/BIN_5739603 ; CWE-480@41590/d1/BIN_9403029 ; CWE-479@41587/d2/BIN_6020353 ; CWE-480@41591/d2/BIN_5799337 ; CWE-480@41594/d5/BIN_3475985 ; CWE-479@41582/d7/BIN_9951717,,46,7,,,7,5,,,,,"push:rbp mov:rbp,rsp nop: pop:rbp ret:"
BIN_6537894,41133,CWE-469,CWE-468,CWE-469,CWE-469,CWE-468,CWE-468@41132/d1/BIN_1492244 ; CWE-469@41134/d1/BIN_7797754 ; CWE-468@41131/d2/BIN_6747213 ; CWE-468@41129/d4/BIN_9734886 ; CWE-468@41128/d5/BIN_4330461 ; CWE-468@41126/d7/BIN_5774206,,21,111,24|25|26|27,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,111,28,strchr|exit|printunsignedline,,,,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N mov:qwordptr_[rbp-N],rax mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:edx,N mov:rcx,rax ca"
BIN_7190407,35289,CWE-396,CWE-397,CWE-396,CWE-396,CWE-397,CWE-397@35291/d2/BIN_4451059 ; CWE-396@35286/d3/BIN_7608591 ; CWE-396@35285/d4/BIN_7012982 ; CWE-397@35293/d4/BIN_5940213 ; CWE-396@35284/d5/BIN_1368915 ; CWE-396@35283/d6/BIN_7485351,CWE-396:6,-1,-1,,,369,103,rand|__cxa_allocate_exception|_znst12out_of_rangec1epkc|__cxa_throw|rand|__cxa_allocate_exception|_znst12domain_errorc1epkc|__cxa_throw|printline|__cxa_free_exception|__cxa_free_exception|_unwind_resume|__cxa_begin_catch|printline|__cxa_end_catch|__cxa_begin_catch|printline|__cxa_end_catch|__cxa_end_catch|_unwind_resume|__cxa_end_catch|_unwind_resume,,,,"push:rbp push:rdi push:rsi push:rbx sub:rsp,N lea:rbp,[rsp+N] nop: call:N and:eax,1 and:eax,1 xor:eax,1 test:al,al je:N mov:ecx,N call:N mov:rbx,rax lea:rax,[rip+N] mov:rdx,rax mov"
BIN_8993957,55981,CWE-835,CWE-843,CWE-835,CWE-835,CWE-843,CWE-835@55980/d1/BIN_8868698 ; CWE-843@55982/d1/BIN_4568804 ; CWE-835@55979/d2/BIN_5809489 ; CWE-835@55978/d3/BIN_2562848 ; CWE-843@55984/d3/BIN_7213796 ; CWE-843@55985/d4/BIN_1745942,,10,31,12,i:0,31,9,printintline,,,,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N add:dwordptr_[rbp-4],1 jmp:N"
BIN_5472113,47238,CWE-685,CWE-688,CWE-685,CWE-685,CWE-688,CWE-685@47236/d2/BIN_5278793 ; CWE-688@47240/d2/BIN_4473406 ; CWE-685@47235/d3/BIN_2292622 ; CWE-688@47241/d3/BIN_3112948 ; CWE-688@47243/d5/BIN_1345470 ; CWE-685@47232/d6/BIN_2452887,,20,63,25,dest:0,63,17,sprintf|printline,,,,"push:rbp mov:rbp,rsp sub:rsp,N nop: lea:rcx,[rip+N] lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8,rcx mov:rcx,rax call:N lea:rax,[rbp-N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:"
BIN_5190087,47220,CWE-681,CWE-685,CWE-681,CWE-681,CWE-685,CWE-681@47219/d1/BIN_6608892 ; CWE-685@47221/d1/BIN_4248613 ; CWE-685@47222/d2/BIN_5626611 ; CWE-681@47217/d3/BIN_9998031 ; CWE-685@47223/d3/BIN_3556470 ; CWE-685@47225/d5/BIN_9479051,,20,150,25|26,inputBuffer:0|doubleNumber:0,150,36,fgets|atof|printline|sqrt|printintline,,,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] nop: pxor:xmm0,xmm0 movsd:qwordptr_[rbp+N],xmm0 mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rdx,rax lea:rax,[rbp-N] mov:r8,rdx mov:edx,N mov:"
