target_bid,split,binary_id,sid,label,cwe,entry_line,high_pc,var_lines,ptr_sig,line_seq_compact,body_len,insn_count,call_count,branch_count,key_body_hex,key_op_full,key_marker_tail,calls,preview
BIN_1606490,train,BIN_8866122,18991,1,CWE-188,17,43,29,unionStructLong:0,18|30|33|34|36|38,43,15,1,0,956a547bf2e200e3,49bc24a70b87b98e,55589614774fa86d,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],N movzx:eax,byteptr_[rbp-1] or:eax,N mov:byteptr_[rbp-1],al mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N nop: nop: add:rsp,N pop:rbp ret:"
BIN_1606490,train,BIN_3097684,18992,1,CWE-188,17,62,19|30,j:0|unionStructLong:0,18|20|31|34|35|20|38,62,20,1,2,cc97e3e7c4726a23,410e37cf83ecde38,1cd023f1a5b4374e,printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N mov:dwordptr_[rbp-8],N movzx:eax,byteptr_[rbp-5] or:eax,N mov:byteptr_[rbp-5],al mov:eax,dwordptr_[rbp-8] mov:ecx,eax call:N add:dwordptr_[rbp-4],1 cmp:dwordptr_[rbp-4],0 jle:N nop: nop: add"
BIN_1606490,test,BIN_1606490,18994,1,CWE-190,19,79,21|27,data:0|result:0,20|22|24|27|28|30,79,23,3,0,6a987f0988bedd29,8ac7a7a06b5105e0,833da4979cffd76a,fscanf|printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax,byteptr_[rbp-2] add:eax,1 mov:byteptr_[rbp-1],al movsx:eax,byteptr_[r"
BIN_1606490,train,BIN_5477929,18996,1,CWE-190,19,79,21|32,data:0|result:0,20|22|26|32|33|36,79,23,3,0,5fd41e0c1ce0b3b1,8ac7a7a06b5105e0,833da4979cffd76a,fscanf|printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N movzx:eax,byteptr_[rbp-2] add:eax,1 mov:byteptr_[rbp-1],al movsx:eax,byteptr_[r"
BIN_1606490,train,BIN_2843151,18997,1,CWE-190,25,97,27|38,data:0|result:0,26|28|29|32|34|38|39|42,97,29,3,2,2e97113e099ae7e0,6cae5c85382efc46,833da4979cffd76a,fscanf|printhexcharline,"push:rbp mov:rbp,rsp sub:rsp,N mov:byteptr_[rbp-2],N mov:eax,1 test:eax,eax je:N mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-2] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N mov:eax,1 test:eax,eax je:N movzx:eax,byteptr_[rbp-"
BIN_3124360,train,BIN_8474332,28226,1,CWE-196,17,74,19|23|24,j:0|intUnsigned:0|intSigned:0,18|20|25|26|28|31|32|20|35,74,25,3,3,f873dbd8a83ff2d2,34fb3ee7b6ce1210,3ea86668fe211822,rand|rand|printintline,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N call:N mov:dwordptr_[rbp-8],eax call:N and:eax,1 test:eax,eax jne:N not:dwordptr_[rbp-8] mov:eax,dwordptr_[rbp-8] mov:dwordptr_[rbp-N],eax mov:eax,dwordptr_[rbp-N] mov:ecx,eax call:N add:dwo"
BIN_3124360,test,BIN_3124360,28227,1,CWE-196,17,55,22|23,intUnsigned:0|intSigned:0,18|19|24|25|27|30|31|33,55,20,3,1,a43e98694bcf403c,81f6123fe7f16615,c27fb42440babe03,rand|rand|printintline,"push:rbp mov:rbp,rsp sub:rsp,N nop: call:N mov:dwordptr_[rbp-4],eax call:N and:eax,1 test:eax,eax jne:N not:dwordptr_[rbp-4] mov:eax,dwordptr_[rbp-4] mov:dwordptr_[rbp-8],eax mov:eax,dwordptr_[rbp-8] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:"
BIN_3124360,train,BIN_1382028,28228,1,CWE-197,40,441,42|47|48|50|51|52|53|103,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|charData:0,41|44|48|52|57|61|64|65|69|70|71|72|73|79|80|85|87|59|67|75|90|92|95|97|103|104|106,441,89,11,10,1f2e0d223d22abe1,c4c342ad6f677e0c,b9679c304bcab64c,memset|atoi|printhexcharline,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mo"
BIN_3124360,train,BIN_9361451,28231,1,CWE-197,47,454,49|56|57|59|60|61|62|113,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|charData:0,48|51|52|57|61|66|70|73|74|78|79|80|81|82|88|89|94|96|68|76|84|99|101|104|106|113|114|116,454,92,11,11,9d955250043ebf20,18e2f2a274a0919a,b9679c304bcab64c,memset|atoi|printhexcharline,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],N mov:eax,1 test:eax,eax je:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:"
BIN_4184059,train,BIN_6460197,40990,1,CWE-459,28,157,34|35|36,filename:1|tmpl:0|pFile:1,29|35|38|39|41|42|44|45|50|56,157,38,4,2,7a3977cc542e3ee6,f32ee636ec4af8b7,49b26f9a0d3d0a04,fwrite|fclose,"push:rbp mov:rbp,rsp sub:rsp,N movabs:rax,N movabs:rdx,N mov:qwordptr_[rbp-N],rax mov:qwordptr_[rbp-N],rdx mov:dwordptr_[rbp-N],N lea:rax,[rbp-N] mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp-8],rax cmp:qwordptr_[rbp-8],0 je:N lea:r"
