binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,pair_min_count,cv_acc,cv_macro,pair_pred,pair_margin,pair_support_new
BIN_4198219,10834,1,CWE-122,1,CWE-126,wrapper,10833,BIN_9832796,1,559,0.9804798698657992,0.9727938573198797,CWE-126,0.07837350222257258,True
BIN_1455492,4916,1,CWE-121,1,CWE-126,wrapper,4915,BIN_3772631,1,559,0.978076062639821,0.9713972302207596,CWE-126,0.1758419663079137,True
BIN_5472113,47238,1,CWE-685,1,CWE-688,wrapper,47240,BIN_4473406,2,10,1.0,1.0,CWE-685,-0.3864313792076601,False
BIN_4390572,41662,1,CWE-483,1,CWE-484,wrapper,41663,BIN_9717506,1,11,1.0,1.0,CWE-483,-0.6296500326853237,False
BIN_7681509,35236,1,CWE-396,1,CWE-391,injected,35235,BIN_6027412,1,29,1.0,1.0,CWE-396,-0.8001048794575242,False
BIN_7190407,35289,1,CWE-396,1,CWE-397,injected,35291,BIN_4451059,2,8,1.0,1.0,CWE-396,-0.8001610189881503,False
BIN_6537894,41133,1,CWE-469,1,CWE-468,wrapper,41132,BIN_1492244,1,17,1.0,1.0,CWE-469,-0.8633050197136508,False
BIN_5190087,47220,1,CWE-681,1,CWE-685,wrapper,47221,BIN_4248613,1,10,1.0,1.0,CWE-681,-0.8939782786463382,False
BIN_4184059,40994,1,CWE-464,1,CWE-459,wrapper,40993,BIN_4599756,1,18,1.0,1.0,CWE-464,-0.9821343302342915,False
BIN_1606490,18994,1,CWE-190,1,CWE-188,wrapper,18992,BIN_3097684,2,15,0.9992816091954023,0.9825771324863883,CWE-190,-1.0124968336631928,False
BIN_4942051,10844,1,CWE-122,1,CWE-126,wrapper,10845,BIN_2396068,1,559,0.9804798698657992,0.9727938573198797,CWE-122,-0.113674709978758,False
BIN_1938615,10838,1,CWE-122,1,CWE-126,wrapper,10837,BIN_1752079,1,559,0.9804798698657992,0.9727938573198797,CWE-122,-0.1505934920512675,False
BIN_6244783,4961,1,CWE-126,1,CWE-122,wrapper,4960,BIN_9870703,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.1756878059726324,False
BIN_4025173,10855,1,CWE-126,1,CWE-122,wrapper,10854,BIN_1260116,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.4857308385499317,False
BIN_8227758,4968,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.49317509855708963,False
BIN_4280528,4977,1,CWE-126,1,CWE-122,wrapper,4976,BIN_4485257,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.5388219670738995,False
BIN_4615687,4970,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,3,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.5534332627532622,False
BIN_9335771,10850,1,CWE-126,1,CWE-122,wrapper,10851,BIN_8437590,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.5968261797804277,False
BIN_4860053,4966,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,1,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.6276195656335312,False
BIN_2902601,4969,1,CWE-126,1,CWE-122,wrapper,4967,BIN_2890346,2,559,0.9804798698657992,0.9727938573198797,CWE-126,-0.6666871554437399,False
BIN_1812963,4913,1,CWE-126,1,CWE-121,wrapper,4912,BIN_2813467,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.09096397931355615,False
BIN_2334733,4943,1,CWE-126,1,CWE-121,wrapper,4942,BIN_2449103,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.10642304455947604,False
BIN_8249526,504,1,CWE-126,1,CWE-121,wrapper,505,BIN_2692299,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.3501862989310671,False
BIN_3049998,506,1,CWE-126,1,CWE-121,wrapper,505,BIN_2692299,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.5270243323793717,False
BIN_8264883,520,1,CWE-126,1,CWE-121,wrapper,519,BIN_3350323,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.5859100000211294,False
BIN_3790413,517,1,CWE-126,1,CWE-121,wrapper,518,BIN_8719707,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.682882852658104,False
BIN_2254329,525,1,CWE-126,1,CWE-121,wrapper,526,BIN_2693860,1,559,0.978076062639821,0.9713972302207596,CWE-126,-0.734222966029276,False
BIN_3124360,28227,1,CWE-196,1,CWE-197,wrapper,28228,BIN_1382028,1,7,0.9962406015037594,0.96057507040166,CWE-196,-0.7618971175389069,False
BIN_5474899,41589,1,CWE-480,1,CWE-479,wrapper,41588,BIN_5739603,1,8,0.9411764705882353,0.9411764705882353,CWE-480,-0.865719636793988,False
BIN_6066650,35181,1,CWE-390,1,CWE-391,wrapper,35184,BIN_1225491,3,29,0.9411764705882353,0.9369529743361519,CWE-390,-0.25881136638073526,False
BIN_4198849,31569,1,CWE-252,1,CWE-253,wrapper,31570,BIN_7568004,1,301,0.8832236842105263,0.8830563344034026,CWE-252,-0.09896201133867022,False
BIN_8993957,55981,1,CWE-835,1,CWE-843,wrapper,55982,BIN_4568804,1,4,,,,,False
