binary_id,sid,old_cwe,new_cwe,nearest_sid,nearest_bid,dist
BIN_4025173,10855,CWE-126,CWE-122,10854,BIN_1260116,1
BIN_4615687,4970,CWE-126,CWE-122,4967,BIN_2890346,3
BIN_6244783,4961,CWE-126,CWE-122,4960,BIN_9870703,1
BIN_8249526,504,CWE-126,CWE-121,505,BIN_2692299,1
BIN_8681591,511,CWE-126,CWE-121,512,BIN_7110241,1
BIN_1455492,4916,CWE-121,CWE-126,4915,BIN_3772631,1
BIN_2254329,525,CWE-126,CWE-121,526,BIN_2693860,1
BIN_2902601,4969,CWE-126,CWE-122,4967,BIN_2890346,2
BIN_3790413,517,CWE-126,CWE-121,518,BIN_8719707,1
BIN_4198219,10834,CWE-122,CWE-126,10833,BIN_9832796,1
BIN_4860053,4966,CWE-126,CWE-122,4967,BIN_2890346,1
BIN_4942051,10844,CWE-122,CWE-126,10845,BIN_2396068,1
BIN_8227758,4968,CWE-126,CWE-122,4967,BIN_2890346,1
BIN_9335771,10850,CWE-126,CWE-122,10851,BIN_8437590,1
