binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est,src_left,src_right,src_majority,wknn3,wknn5,wknn7,ExtraTrees,RandomForest,ET_prob,RF_prob,body_pred,pair_pred,struct_pred,clf_pred,new_score,old_score,margin_new_minus_old,s22_action
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-126,CWE-126,CWE-126,CWE-121,CWE-121,0.992,0.658,CWE-126,CWE-126,CWE-126,CWE-126,5.0,10.799999999999997,-5.799999999999997,keep_s17b
BIN_4942051,10844,1,CWE-122,1,CWE-126,,10845,BIN_2396068,1,1.7111180103647243e-05,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.872,0.726,CWE-122,CWE-122,CWE-126,CWE-122,5.7,10.099999999999998,-4.399999999999998,keep_s17b
BIN_8264883,520,1,CWE-126,1,CWE-121,,519,BIN_3350323,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-121,CWE-126,CWE-126,CWE-121,CWE-121,0.994,0.6805002237136465,CWE-126,CWE-126,CWE-121,CWE-126,7.7,8.1,-0.39999999999999947,keep_s17b
BIN_4198219,10834,1,CWE-122,1,CWE-126,,10833,BIN_9832796,1,1.7111180103647243e-05,CWE-126,CWE-126,CWE-126,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.954,0.66,CWE-122,CWE-126,CWE-122,CWE-122,7.7,8.1,-0.39999999999999947,keep_s17b
BIN_8249526,504,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-121,CWE-126,CWE-126,CWE-121,CWE-121,1.0,0.664,CWE-126,CWE-126,CWE-121,CWE-126,9.7,6.1000000000000005,3.5999999999999988,keep_s17b
BIN_2334733,4943,1,CWE-126,1,CWE-121,,4942,BIN_2449103,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-121,CWE-121,CWE-126,CWE-121,CWE-121,1.0,0.9536674563692128,CWE-121,CWE-126,CWE-126,CWE-126,9.7,6.1000000000000005,3.5999999999999988,keep_s17b
BIN_4280528,4977,1,CWE-126,1,CWE-122,,4976,BIN_4485257,1,1.7139617781506015e-05,CWE-122,CWE-126,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,1.0,0.756,CWE-126,CWE-126,CWE-122,CWE-126,9.7,6.1000000000000005,3.5999999999999988,keep_s17b
BIN_2902601,4969,1,CWE-126,1,CWE-122,,4967,BIN_2890346,2,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.718,0.7057998926078396,CWE-126,CWE-126,CWE-126,CWE-126,10.0,5.800000000000001,4.199999999999999,keep_s17b
BIN_9335771,10850,1,CWE-126,1,CWE-122,,10851,BIN_8437590,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.7164034160227777,0.5128630654960216,CWE-126,CWE-126,CWE-126,CWE-126,10.0,5.800000000000001,4.199999999999999,keep_s17b
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.852,0.6210906872712485,CWE-126,CWE-126,CWE-126,CWE-122,10.7,5.1000000000000005,5.599999999999999,keep_s17b
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,0.9314997762863536,0.6752139158925923,CWE-122,CWE-126,CWE-122,CWE-126,11.399999999999999,4.4,6.999999999999998,keep_s17b
BIN_3790413,517,1,CWE-126,1,CWE-121,,518,BIN_8719707,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,0.95,0.6605002237136465,CWE-126,CWE-126,CWE-121,CWE-126,13.7,2.0999999999999996,11.6,keep_s17b
BIN_8227758,4968,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,0.998,0.714,CWE-126,CWE-126,CWE-122,CWE-126,13.7,2.0999999999999996,11.6,keep_s17b
BIN_1455492,4916,1,CWE-121,1,CWE-126,,4915,BIN_3772631,1,1.774492225074984e-05,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,0.6194085011185745,0.546284748687156,CWE-126,CWE-126,CWE-126,CWE-126,15.799999999999997,0.0,15.799999999999997,keep_s17b
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,CWE-126,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,1.0,0.9858079234092976,CWE-122,CWE-122,CWE-122,CWE-126,2.7,13.099999999999998,-10.399999999999999,revert_to_s15
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,0.972,0.6599277572584494,CWE-121,CWE-126,CWE-121,CWE-126,3.4000000000000004,12.399999999999999,-8.999999999999998,revert_to_s15
BIN_4860053,4966,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-126,CWE-122,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,0.97,0.888,CWE-126,CWE-126,CWE-122,CWE-122,3.4000000000000004,12.399999999999999,-8.999999999999998,revert_to_s15
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,0.94,0.726,CWE-126,CWE-126,CWE-126,CWE-126,4.0,11.799999999999997,-7.799999999999997,revert_to_s15
BIN_2254329,525,1,CWE-126,1,CWE-121,,526,BIN_2693860,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,0.966,0.8000684845082076,CWE-126,CWE-126,CWE-126,CWE-126,4.0,11.799999999999997,-7.799999999999997,revert_to_s15
