binary_id,sid,cur,new,nearest_cwe,nearest_dist,left1,left2,right1,right2,source_supports_new,source_supports_cur,token,token_has_new,token_has_cur,fixed_pred,fixed_has_new,fixed_has_cur,fixed_support,dwarf_pred,dwarf_support,dwarf_ex_sids,dwarf_has_new,score
BIN_4860053,4966,CWE-122,CWE-126,CWE-126,1,CWE-126@4965 d1,CWE-126@4963 d3,CWE-122@4967 d1,CWE-126@4975 d9,True,False,,False,False,,False,False,,,,,False,2
BIN_4942051,10844,CWE-126,CWE-122,CWE-122,1,CWE-122@10843 d1,CWE-122@10842 d2,CWE-126@10845 d1,CWE-122@10846 d2,True,False,,False,False,,False,False,,,,,False,2
BIN_9341417,11,CWE-121,CWE-124,CWE-121,1,CWE-121@10 d1,CWE-121@8 d3,CWE-121@12 d1,CWE-121@13 d2,False,True,,False,False,CWE-124,True,False,2,,,,False,-1
BIN_9858557,203,CWE-121,CWE-124,CWE-121,1,CWE-121@201 d2,CWE-121@200 d3,CWE-121@204 d1,CWE-121@206 d3,False,True,,False,False,CWE-124,True,False,2,,,,False,-1
BIN_7663395,4950,CWE-126,CWE-122,CWE-126,2,CWE-126@4948 d2,CWE-126@4947 d3,CWE-126@4954 d4,CWE-122@4955 d5,False,True,,False,False,CWE-122,True,False,2,,,,False,-1
BIN_2006638,31953,CWE-253,CWE-252,CWE-253,1,CWE-253@31952 d1,CWE-253@31951 d2,CWE-253@31956 d3,CWE-253@31957 d4,False,True,,False,False,CWE-252,True,False,2,,,,False,-1
BIN_8445417,31954,CWE-253,CWE-252,CWE-253,2,CWE-253@31952 d2,CWE-253@31951 d3,CWE-253@31956 d2,CWE-253@31957 d3,False,True,,False,False,CWE-252,True,False,2,,,,False,-1
BIN_1746420,24,CWE-121,CWE-369,CWE-121,1,CWE-121@22 d2,CWE-121@21 d3,CWE-121@25 d1,CWE-121@27 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_3923236,123,CWE-121,CWE-369,CWE-121,1,CWE-121@122 d1,CWE-121@120 d3,CWE-121@144 d21,CWE-121@145 d22,False,True,,False,False,,False,False,,,,,False,-2
BIN_1464773,267,CWE-121,CWE-124,CWE-121,1,CWE-121@265 d2,CWE-121@264 d3,CWE-121@268 d1,CWE-121@288 d21,False,True,,False,False,,False,False,,,,,False,-2
BIN_8017787,496,CWE-121,CWE-126,CWE-121,2,CWE-121@480 d16,CWE-121@478 d18,CWE-121@498 d2,CWE-126@499 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_3262946,497,CWE-121,CWE-126,CWE-121,1,CWE-121@480 d17,CWE-121@478 d19,CWE-121@498 d1,CWE-126@499 d2,False,True,,False,False,,False,False,,,,,False,-2
BIN_8249526,504,CWE-121,CWE-126,CWE-121,1,CWE-126@502 d2,CWE-126@499 d5,CWE-121@505 d1,CWE-126@507 d3,False,True,,False,False,,False,False,,,,,False,-2
BIN_3049998,506,CWE-121,CWE-126,CWE-121,1,CWE-121@505 d1,CWE-126@502 d4,CWE-126@507 d1,CWE-126@508 d2,False,True,,False,False,,False,False,,,,,False,-2
