binary_id,sid,current,left_cwe,left_sid,left_src,left_label,ldist,right_cwe,right_sid,right_src,right_label,rdist,agree_pred,nearest_pred,nearest_dist
BIN_6545696,513,CWE-126,CWE-121,512,train,1,1.0,CWE-126,514,train,1,1,,CWE-121,1.0
BIN_4577138,4919,CWE-126,CWE-121,4918,train,1,1.0,CWE-126,4920,train,1,1,,CWE-121,1.0
BIN_4860053,4966,CWE-122,CWE-126,4965,train,1,1.0,CWE-122,4967,train,1,1,,CWE-126,1.0
BIN_4942051,10844,CWE-126,CWE-122,10843,train,1,1.0,CWE-126,10845,train,1,1,,CWE-122,1.0
BIN_4184059,40994,CWE-464,CWE-459,40993,train,1,1.0,CWE-464,40996,train,1,2,,CWE-459,1.0
BIN_6537894,41133,CWE-469,CWE-468,41132,train,1,1.0,CWE-469,41134,train,1,1,,CWE-468,1.0
BIN_5474899,41589,CWE-480,CWE-479,41588,train,1,1.0,CWE-480,41590,train,1,1,,CWE-479,1.0
BIN_3584569,41625,CWE-482,CWE-481,41624,train,1,1.0,CWE-482,41626,train,1,1,,CWE-481,1.0
BIN_4390572,41662,CWE-483,CWE-483,41660,train,1,2.0,CWE-484,41663,train,1,1,,CWE-484,1.0
BIN_4865561,42497,CWE-587,CWE-571,42496,train,1,1.0,CWE-587,42498,train,1,1,,CWE-571,1.0
BIN_1606490,18994,CWE-190,CWE-188,18992,train,1,2.0,CWE-190,18996,train,1,2,,CWE-188,2.0
BIN_3719174,4971,CWE-126,CWE-122,4967,train,1,4.0,CWE-126,4975,train,1,4,,CWE-122,4.0
