binary_id,sid,current,left_cwe,left_sid,left_src,left_bid,ldist,right_cwe,right_sid,right_src,right_bid,rdist,agree_pred,nearest_pred,nearest_dist,token_sig
BIN_6545696,513,CWE-126,CWE-121,512,train,BIN_7110241,1.0,CWE-126,514,train,BIN_1850914,1,,CWE-121,1,
BIN_4577138,4919,CWE-126,CWE-121,4918,train,BIN_8878834,1.0,CWE-126,4920,train,BIN_5186093,1,,CWE-121,1,
BIN_4860053,4966,CWE-122,CWE-126,4965,train,BIN_6440355,1.0,CWE-122,4967,train,BIN_2890346,1,,CWE-126,1,
BIN_4942051,10844,CWE-126,CWE-122,10843,train,BIN_5683592,1.0,CWE-126,10845,train,BIN_2396068,1,,CWE-122,1,
BIN_4184059,40994,CWE-464,CWE-459,40993,train,BIN_4599756,1.0,CWE-464,40996,train,BIN_2162526,2,,CWE-459,1,
BIN_6537894,41133,CWE-469,CWE-468,41132,train,BIN_1492244,1.0,CWE-469,41134,train,BIN_7797754,1,,CWE-468,1,
BIN_5474899,41589,CWE-480,CWE-479,41588,train,BIN_5739603,1.0,CWE-480,41590,train,BIN_9403029,1,,CWE-479,1,
BIN_3584569,41625,CWE-482,CWE-481,41624,train,BIN_6664466,1.0,CWE-482,41626,train,BIN_1388029,1,,CWE-481,1,
BIN_4390572,41662,CWE-483,CWE-483,41660,train,BIN_8583996,2.0,CWE-484,41663,train,BIN_9717506,1,,CWE-484,1,
BIN_4865561,42497,CWE-587,CWE-571,42496,train,BIN_9702897,1.0,CWE-587,42498,train,BIN_7656369,1,,CWE-571,1,
BIN_1606490,18994,CWE-190,CWE-188,18992,train,BIN_3097684,2.0,CWE-190,18996,train,BIN_5477929,2,,CWE-188,2,
BIN_3719174,4971,CWE-126,CWE-122,4967,train,BIN_2890346,4.0,CWE-126,4975,train,BIN_2308106,4,,CWE-122,4,
