binary_id,sid,current,left_cwe,left_sid,left_src,left_bid,ldist,right_cwe,right_sid,right_src,right_bid,rdist,agree_pred,nearest_pred,nearest_dist,token_sig,near_right_tie
BIN_1258632,0,CWE-121,,,,,,CWE-121,1,train,BIN_5515021,1,,CWE-121,1,,
BIN_3049998,506,CWE-121,CWE-121,505,train,BIN_2692299,1.0,CWE-126,507,train,BIN_4097945,1,,CWE-121,1,,CWE-126
BIN_8681591,511,CWE-126,CWE-126,510,train,BIN_3849583,1.0,CWE-121,512,train,BIN_7110241,1,,CWE-126,1,,CWE-121
BIN_8264883,520,CWE-121,CWE-121,519,train,BIN_3350323,1.0,CWE-126,521,train,BIN_5955145,1,,CWE-121,1,,CWE-126
BIN_1812963,4913,CWE-121,CWE-121,4912,train,BIN_2813467,1.0,CWE-126,4914,train,BIN_8892575,1,,CWE-121,1,,CWE-126
BIN_2334733,4943,CWE-121,CWE-121,4942,train,BIN_2449103,1.0,CWE-126,4944,train,BIN_3741859,1,,CWE-121,1,,CWE-126
BIN_4280528,4977,CWE-122,CWE-122,4976,train,BIN_4485257,1.0,CWE-126,4978,train,BIN_6493055,1,,CWE-122,1,,CWE-126
BIN_1938615,10838,CWE-126,CWE-126,10837,train,BIN_1752079,1.0,CWE-122,10839,train,BIN_3056539,1,,CWE-126,1,,CWE-122
BIN_3124360,28227,CWE-196,CWE-196,28226,train,BIN_8474332,1.0,CWE-197,28228,train,BIN_1382028,1,,CWE-196,1,,CWE-197
BIN_4198849,31569,CWE-252,CWE-252,31568,train,BIN_8200107,1.0,CWE-253,31570,train,BIN_7568004,1,,CWE-252,1,,CWE-253
BIN_4199403,32199,CWE-367,CWE-367,32197,train,BIN_6627936,2.0,CWE-369,32201,train,BIN_7460130,2,,CWE-367,2,,CWE-369
BIN_6066650,35181,CWE-390,CWE-390,35178,train,BIN_8273378,3.0,CWE-391,35184,train,BIN_1225491,3,,CWE-390,3,,CWE-391
BIN_4184059,40994,CWE-464,CWE-459,40993,train,BIN_4599756,1.0,CWE-464,40996,train,BIN_2162526,2,,CWE-459,1,,CWE-459
BIN_4967771,41606,CWE-480,CWE-480,41605,train,BIN_6532785,1.0,CWE-481,41607,train,BIN_9654614,1,,CWE-480,1,,CWE-481
BIN_4390572,41662,CWE-483,CWE-483,41660,train,BIN_8583996,2.0,CWE-484,41663,train,BIN_9717506,1,,CWE-484,1,,CWE-484
BIN_8556812,41857,CWE-526,CWE-526,41856,train,BIN_3246491,1.0,CWE-546,41858,train,BIN_9430159,1,,CWE-526,1,,CWE-546
BIN_5190087,47220,CWE-681,CWE-681,47219,train,BIN_6608892,1.0,CWE-685,47221,train,BIN_4248613,1,,CWE-681,1,,CWE-685
BIN_5472113,47238,CWE-685,CWE-685,47236,train,BIN_5278793,2.0,CWE-688,47240,train,BIN_4473406,2,,CWE-685,2,,CWE-688
BIN_8993957,55981,CWE-835,CWE-835,55980,train,BIN_8868698,1.0,CWE-843,55982,train,BIN_4568804,1,,CWE-835,1,,CWE-843
