fold,binary_id,sid,true,old,new,dist,body_pred,struct_pred
1,BIN_1850914,514,CWE-126,CWE-126,CWE-121,4214,CWE-122,CWE-122
1,BIN_2463809,508,CWE-126,CWE-126,CWE-121,4220,CWE-122,CWE-122
1,BIN_2467926,530,CWE-126,CWE-126,CWE-121,4198,CWE-126,CWE-122
1,BIN_2971428,528,CWE-126,CWE-126,CWE-121,4200,CWE-122,CWE-122
1,BIN_3849583,510,CWE-126,CWE-126,CWE-121,4218,CWE-122,CWE-122
1,BIN_4097945,507,CWE-126,CWE-126,CWE-121,4221,CWE-122,CWE-126
1,BIN_4564071,509,CWE-126,CWE-126,CWE-121,4219,CWE-122,CWE-122
1,BIN_5223234,523,CWE-126,CWE-126,CWE-121,4205,CWE-122,CWE-122
1,BIN_5955145,521,CWE-126,CWE-126,CWE-121,4207,CWE-122,CWE-122
1,BIN_7570995,515,CWE-126,CWE-126,CWE-121,4213,CWE-122,CWE-122
1,BIN_8299834,527,CWE-126,CWE-126,CWE-121,4201,CWE-122,CWE-122
1,BIN_8457830,502,CWE-126,CWE-126,CWE-121,4226,CWE-122,CWE-122
1,BIN_9164795,522,CWE-126,CWE-126,CWE-121,4206,CWE-122,CWE-122
1,BIN_9951199,499,CWE-126,CWE-126,CWE-121,4229,CWE-122,CWE-122
2,BIN_1004302,6530,CWE-122,CWE-122,CWE-121,1803,CWE-126,CWE-121
2,BIN_1004922,6230,CWE-122,CWE-122,CWE-121,1503,CWE-121,CWE-121
2,BIN_1015095,6909,CWE-122,CWE-122,CWE-121,2182,CWE-122,CWE-121
2,BIN_1016030,7095,CWE-122,CWE-122,CWE-121,2368,CWE-122,CWE-121
2,BIN_1043115,6331,CWE-122,CWE-122,CWE-121,1604,CWE-121,CWE-121
2,BIN_1088154,5616,CWE-122,CWE-122,CWE-121,889,CWE-122,CWE-121
2,BIN_1101529,5486,CWE-122,CWE-122,CWE-121,759,CWE-122,CWE-121
2,BIN_1107560,6632,CWE-122,CWE-122,CWE-121,1905,CWE-126,CWE-121
2,BIN_1114712,7045,CWE-122,CWE-122,CWE-121,2318,CWE-121,CWE-121
2,BIN_1114840,5223,CWE-122,CWE-122,CWE-121,496,CWE-126,CWE-121
2,BIN_1131691,5428,CWE-122,CWE-122,CWE-121,701,CWE-122,CWE-121
2,BIN_1134761,6421,CWE-122,CWE-122,CWE-121,1694,CWE-121,CWE-121
2,BIN_1136898,5329,CWE-122,CWE-122,CWE-121,602,CWE-121,CWE-121
