binary_id,sid,true,left,right,ldist,rdist,nearest_left_tie,nearest_right_tie,agree,maj3,maj5,maj7,boundary,dist_sum
BIN_3813199,409,CWE-135,CWE-121,CWE-135,17,2,CWE-135,CWE-135,,CWE-135,CWE-135,CWE-135,True,19
BIN_5259280,456,CWE-121,CWE-135,CWE-121,20,2,CWE-121,CWE-121,,CWE-121,CWE-121,CWE-121,True,22
BIN_4751241,498,CWE-121,CWE-121,CWE-126,18,1,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-126,True,19
BIN_9951199,499,CWE-126,CWE-121,CWE-126,1,3,CWE-121,CWE-121,,CWE-121,CWE-126,CWE-126,True,4
BIN_8457830,502,CWE-126,CWE-126,CWE-121,3,3,CWE-126,CWE-121,,CWE-121,CWE-126,CWE-126,True,6
BIN_4097945,507,CWE-126,CWE-121,CWE-126,2,1,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-126,True,3
BIN_3849583,510,CWE-126,CWE-126,CWE-121,1,2,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-126,True,3
BIN_1850914,514,CWE-126,CWE-121,CWE-126,2,1,CWE-126,CWE-126,,CWE-121,CWE-121,CWE-126,True,3
BIN_7570995,515,CWE-126,CWE-126,CWE-121,1,3,CWE-126,CWE-126,,CWE-121,CWE-121,CWE-126,True,4
BIN_8719707,518,CWE-121,CWE-126,CWE-121,3,1,CWE-121,CWE-121,,CWE-126,CWE-126,CWE-126,True,4
BIN_3350323,519,CWE-121,CWE-121,CWE-126,1,2,CWE-121,CWE-121,,CWE-126,CWE-126,CWE-126,True,3
BIN_5955145,521,CWE-126,CWE-121,CWE-126,2,1,CWE-126,CWE-126,,CWE-126,CWE-121,CWE-126,True,3
BIN_5223234,523,CWE-126,CWE-126,CWE-121,1,3,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-126,True,4
BIN_8299834,527,CWE-126,CWE-121,CWE-126,1,1,CWE-121,CWE-126,,CWE-121,CWE-126,CWE-126,True,2
BIN_2971428,528,CWE-126,CWE-126,CWE-121,1,1,CWE-126,CWE-121,,CWE-121,CWE-121,CWE-121,True,2
BIN_4653265,533,CWE-121,CWE-126,CWE-121,3,1,CWE-121,CWE-121,,CWE-121,CWE-121,CWE-121,True,4
BIN_2813467,4912,CWE-121,CWE-121,CWE-126,4,2,CWE-126,CWE-126,,CWE-126,CWE-126,CWE-121,True,6
BIN_8892575,4914,CWE-126,CWE-121,CWE-126,2,1,CWE-126,CWE-126,,CWE-121,CWE-121,CWE-121,True,3
BIN_3772631,4915,CWE-126,CWE-126,CWE-121,1,3,CWE-126,CWE-126,,CWE-121,CWE-121,CWE-121,True,4
BIN_1874889,4921,CWE-121,CWE-126,CWE-121,1,1,CWE-126,CWE-121,,CWE-121,CWE-121,CWE-121,True,2
BIN_1352160,4924,CWE-121,CWE-121,CWE-126,2,1,CWE-126,CWE-126,,CWE-126,CWE-121,CWE-121,True,3
BIN_1555350,4925,CWE-126,CWE-121,CWE-126,1,1,CWE-121,CWE-126,,CWE-121,CWE-121,CWE-121,True,2
BIN_9672431,4926,CWE-126,CWE-126,CWE-121,1,1,CWE-126,CWE-121,,CWE-121,CWE-121,CWE-121,True,2
BIN_6228034,4927,CWE-121,CWE-126,CWE-121,1,2,CWE-126,CWE-126,,CWE-126,CWE-121,CWE-121,True,3
BIN_6731440,4936,CWE-121,CWE-121,CWE-126,5,1,CWE-126,CWE-126,,CWE-121,CWE-121,CWE-121,True,6
BIN_3686945,4938,CWE-121,CWE-126,CWE-121,1,1,CWE-126,CWE-121,,CWE-121,CWE-121,CWE-121,True,2
BIN_2449103,4942,CWE-121,CWE-121,CWE-126,3,2,CWE-126,CWE-126,,CWE-121,CWE-126,CWE-126,True,5
BIN_3741859,4944,CWE-126,CWE-121,CWE-126,2,3,CWE-121,CWE-121,,CWE-126,CWE-121,CWE-121,True,5
BIN_2317564,4954,CWE-126,CWE-126,CWE-122,6,1,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,7
BIN_2073575,4955,CWE-122,CWE-126,CWE-122,1,1,CWE-126,CWE-122,,CWE-122,CWE-122,CWE-122,True,2
BIN_9870703,4960,CWE-122,CWE-122,CWE-126,2,3,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,5
BIN_7606177,4963,CWE-126,CWE-122,CWE-126,3,2,CWE-126,CWE-126,,CWE-122,CWE-122,CWE-122,True,5
BIN_6440355,4965,CWE-126,CWE-126,CWE-122,2,2,CWE-126,CWE-122,,CWE-122,CWE-122,CWE-122,True,4
BIN_3277066,4979,CWE-122,CWE-126,CWE-122,1,8,CWE-126,CWE-126,,CWE-126,CWE-122,CWE-122,True,9
BIN_5598906,7839,CWE-122,CWE-122,CWE-135,1,23,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,24
BIN_7369121,7862,CWE-135,CWE-122,CWE-135,23,1,CWE-135,CWE-135,,CWE-135,CWE-135,CWE-135,True,24
BIN_1599272,7909,CWE-122,CWE-135,CWE-122,21,3,CWE-122,CWE-122,,CWE-122,CWE-122,CWE-122,True,24
