binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est,src_left,src_right,src_majority,wknn3,wknn5,wknn7,wknn9,wknn11
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-126,CWE-126,CWE-126,CWE-121,CWE-126
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,CWE-126,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-126,CWE-126,CWE-126,CWE-122,CWE-122
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_8249526,504,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126
BIN_8264883,520,1,CWE-126,1,CWE-121,,519,BIN_3350323,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126
BIN_1455492,4916,1,CWE-121,1,CWE-126,,4915,BIN_3772631,1,1.774492225074984e-05,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126
BIN_2254329,525,1,CWE-126,1,CWE-121,,526,BIN_2693860,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-126,CWE-126,CWE-126,CWE-126,CWE-126
BIN_2334733,4943,1,CWE-126,1,CWE-121,,4942,BIN_2449103,1,1.7772454670776952e-05,CWE-121,CWE-126,CWE-121,CWE-121,CWE-121,CWE-126,CWE-126,CWE-126
BIN_2902601,4969,1,CWE-126,1,CWE-122,,4967,BIN_2890346,2,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_3790413,517,1,CWE-126,1,CWE-121,,518,BIN_8719707,1,1.7772454670776952e-05,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-121,CWE-126
BIN_4198219,10834,1,CWE-122,1,CWE-126,,10833,BIN_9832796,1,1.7111180103647243e-05,CWE-126,CWE-126,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_4280528,4977,1,CWE-126,1,CWE-122,,4976,BIN_4485257,1,1.7139617781506015e-05,CWE-122,CWE-126,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122
BIN_4860053,4966,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-126,CWE-122,CWE-126,CWE-126,CWE-126,CWE-126,CWE-122,CWE-122
BIN_4942051,10844,1,CWE-122,1,CWE-126,,10845,BIN_2396068,1,1.7111180103647243e-05,CWE-122,CWE-126,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_8227758,4968,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
BIN_9335771,10850,1,CWE-126,1,CWE-122,,10851,BIN_8437590,1,1.7139617781506015e-05,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122,CWE-122
