binary_id,sid,pred,prev_sid,prev_c,next_sid,next_c,dp,dn,near_c,pred_dist,reason,score
BIN_7681509,35236,CWE-396,35235.0,CWE-391,35238.0,CWE-396,1,2,CWE-391,2,"nearest<=2diff,out2",9.2
BIN_4184059,40994,CWE-464,40993.0,CWE-459,40996.0,CWE-464,1,2,CWE-459,2,"nearest<=2diff,out2",9.2
BIN_4390572,41662,CWE-483,41660.0,CWE-483,41663.0,CWE-484,2,1,CWE-484,2,"nearest<=2diff,out2",9.2
BIN_1258632,0,CWE-121,,,1.0,CWE-121,999999,1,CWE-121,1,out1,9.1
BIN_8950290,408,CWE-135,392.0,CWE-121,409.0,CWE-135,16,1,CWE-135,1,out1,9.1
BIN_3604985,10989,CWE-123,10988.0,CWE-123,11010.0,CWE-124,1,21,CWE-123,1,out1,9.1
BIN_9514021,16558,CWE-134,16542.0,CWE-127,16559.0,CWE-134,16,1,CWE-134,1,out1,9.1
BIN_1371931,18938,CWE-134,18937.0,CWE-134,18959.0,CWE-188,1,21,CWE-134,1,out1,9.1
BIN_3918710,18958,CWE-188,18937.0,CWE-134,18959.0,CWE-188,21,1,CWE-188,1,out1,9.1
BIN_1282514,18993,CWE-188,18992.0,CWE-188,18996.0,CWE-190,1,3,CWE-188,1,out1,9.1
BIN_6634258,18995,CWE-190,18992.0,CWE-188,18996.0,CWE-190,3,1,CWE-190,1,out1,9.1
BIN_8289624,22955,CWE-191,22942.0,CWE-190,22956.0,CWE-191,13,1,CWE-191,1,out1,9.1
BIN_1552866,25893,CWE-191,25892.0,CWE-191,25907.0,CWE-194,1,14,CWE-191,1,out1,9.1
BIN_1445445,25906,CWE-194,25892.0,CWE-191,25907.0,CWE-194,14,1,CWE-194,1,out1,9.1
BIN_6330929,27058,CWE-195,27038.0,CWE-194,27059.0,CWE-195,20,1,CWE-195,1,out1,9.1
BIN_3124360,28227,CWE-196,28226.0,CWE-196,28228.0,CWE-197,1,1,CWE-196,1,out1,9.1
BIN_1801347,29072,CWE-197,29071.0,CWE-197,29093.0,CWE-023,1,21,CWE-197,1,out1,9.1
BIN_8386492,29092,CWE-023,29071.0,CWE-197,29093.0,CWE-023,21,1,CWE-023,1,out1,9.1
BIN_3198952,30992,CWE-023,30991.0,CWE-023,31013.0,CWE-242,1,21,CWE-023,1,out1,9.1
BIN_2150059,31012,CWE-242,30991.0,CWE-023,31013.0,CWE-242,21,1,CWE-242,1,out1,9.1
BIN_4198849,31569,CWE-252,31568.0,CWE-252,31570.0,CWE-253,1,1,CWE-252,1,out1,9.1
BIN_3375788,32198,CWE-367,32197.0,CWE-367,32201.0,CWE-369,1,3,CWE-367,1,out1,9.1
BIN_2660949,32200,CWE-369,32197.0,CWE-367,32201.0,CWE-369,3,1,CWE-369,1,out1,9.1
BIN_2789041,33065,CWE-036,33044.0,CWE-369,33066.0,CWE-036,21,1,CWE-036,1,out1,9.1
BIN_9273197,35092,CWE-390,35091.0,CWE-377,35093.0,CWE-390,1,1,CWE-377,1,"nearest<=2diff,out1",9.1
BIN_7479617,35179,CWE-390,35178.0,CWE-390,35184.0,CWE-391,1,5,CWE-390,1,out1,9.1
BIN_8875385,35183,CWE-391,35178.0,CWE-390,35184.0,CWE-391,5,1,CWE-391,1,out1,9.1
BIN_8309456,35237,CWE-396,35235.0,CWE-391,35238.0,CWE-396,2,1,CWE-396,1,out1,9.1
BIN_9089105,35287,CWE-396,35286.0,CWE-396,35291.0,CWE-397,1,4,CWE-396,1,out1,9.1
BIN_3372307,35489,CWE-398,35488.0,CWE-398,35491.0,CWE-400,1,2,CWE-398,1,out1,9.1
BIN_8921984,35490,CWE-400,35488.0,CWE-398,35491.0,CWE-400,2,1,CWE-400,1,out1,9.1
BIN_2991691,37848,CWE-401,37847.0,CWE-401,37870.0,CWE-404,1,22,CWE-401,1,out1,9.1
BIN_9698941,37869,CWE-404,37847.0,CWE-401,37870.0,CWE-404,22,1,CWE-404,1,out1,9.1
BIN_9965993,37895,CWE-404,37894.0,CWE-404,37916.0,CWE-415,1,21,CWE-404,1,out1,9.1
BIN_3297563,38878,CWE-416,38856.0,CWE-415,38879.0,CWE-416,22,1,CWE-416,1,out1,9.1
BIN_1394325,39509,CWE-426,39508.0,CWE-426,39529.0,CWE-427,1,20,CWE-426,1,out1,9.1
BIN_1791831,39988,CWE-427,39987.0,CWE-427,40010.0,CWE-457,1,22,CWE-427,1,out1,9.1
BIN_9345080,40953,CWE-457,40952.0,CWE-457,40958.0,CWE-459,1,5,CWE-457,1,out1,9.1
BIN_4135362,40995,CWE-464,40993.0,CWE-459,40996.0,CWE-464,2,1,CWE-464,1,out1,9.1
BIN_1593911,41022,CWE-464,41021.0,CWE-464,41042.0,CWE-467,1,20,CWE-464,1,out1,9.1
BIN_6537894,41133,CWE-469,41132.0,CWE-468,41134.0,CWE-469,1,1,CWE-468,1,"nearest<=2diff,out1",9.1
