split,binary_id,sid,label,cwe,entry_line,high_pc,var_lines,ptr_sig,struct_size_sig,member_sig,char_first_type,line_seq_compact,body_len,insn_count,call_count,branch_count,key_op_full,key_marker_tail,ins_preview
train,BIN_3849583,510,1,CWE-126,31,92,37,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],32|38|40|42|43|44|45|47|53,92,25,4,0,d4ab082053de10b8,0c21941cf3484541,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:N mov:byteptr_[rbp-N],0 l"
train,BIN_7110241,512,1,CWE-121,31,111,33|37,j:0|structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],32|34|38|40|42|43|44|45|34|48,111,30,4,2,941c9eede3d93805,ab95b1ac859b536e,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 jmp:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax c"
test,BIN_6545696,513,1,CWE-126,31,92,36,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],32|33|37|39|41|42|43|44|46,92,25,4,0,646c58d2e87107c7,0c21941cf3484541,"push:rbp mov:rbp,rsp sub:rsp,N nop: lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:N mov:byteptr_[rbp-N"
train,BIN_1850914,514,1,CWE-126,31,125,34,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],32|35|37|39|40|41|42|44,125,28,3,0,5ea4613038f15075,692057953ef152d2,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rax,[rbp-N] movabs:rdx,N movabs:rcx,N mov:qwordptr_[rax],rdx mov:qwordptr_[rax+8"
train,BIN_7570995,515,1,CWE-126,31,125,36,structCharVoid:0,structCharVoid:32,charFirst@0:char[16]|voidSecond@16:*void|voidThird@24:*void,char[16],32|37|39|41|42|43|44|47,125,28,3,0,5ea4613038f15075,692057953ef152d2,"push:rbp mov:rbp,rsp sub:rsp,N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rax,[rbp-N] movabs:rdx,N movabs:rcx,N mov:qwordptr_[rax],rdx mov:qwordptr_[rax+8"
train,BIN_2813467,4912,1,CWE-121,37,103,42,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],38|39|43|45|47|48|49|50|53,103,27,4,1,23bce0c6b8e93cdd,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] test:eax,eax je:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N"
test,BIN_1812963,4913,1,CWE-121,36,103,41,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],37|38|42|44|46|47|48|49|52,103,27,4,1,58a025b9a07a9e39,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,5 cmp:eax,5 jne:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call"
train,BIN_8892575,4914,1,CWE-126,36,104,41,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],37|38|42|44|46|47|48|49|52,104,27,4,1,58a025b9a07a9e39,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N mov:eax,dwordptr_[rip+N] cmp:eax,5 jne:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N m"
train,BIN_3772631,4915,1,CWE-126,44,102,49,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],45|46|50|52|54|55|56|57|60,102,27,5,1,84971f060edec071,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:"
train,BIN_8878834,4918,1,CWE-121,31,102,36,structCharVoid:0,structCharVoid:48,charFirst@0:short unsigned int[16]|voidSecond@32:*void|voidThird@40:*void,short unsigned int[16],32|33|37|39|41|42|43|44|47,102,27,5,1,84971f060edec071,28b895ee02d13a43,"push:rbp mov:rbp,rsp sub:rsp,N call:N test:eax,eax je:N lea:rax,[rip+N] mov:qwordptr_[rbp-N],rax mov:rax,qwordptr_[rbp-N] mov:rcx,rax call:N lea:rdx,[rip+N] lea:rax,[rbp-N] mov:r8d,N mov:rcx,rax call:"
