token_sig,n,n_cwe,pred,pred_n,purity,dist
CWE-762:9,549,1,CWE-762,549,1.0,CWE-762:549
CWE-590:7,336,1,CWE-590,336,1.0,CWE-590:336
CWE-762:7,322,1,CWE-762,322,1.0,CWE-762:322
CWE-036:7,297,1,CWE-036,297,1.0,CWE-036:297
CWE-023:7,294,1,CWE-023,294,1.0,CWE-023:294
CWE-023:6,198,1,CWE-023,198,1.0,CWE-023:198
CWE-036:6,186,1,CWE-036,186,1.0,CWE-036:186
CWE-122:7|CWE-805:7,180,1,CWE-122,180,1.0,CWE-122:180
CWE-590:6,165,1,CWE-590,165,1.0,CWE-590:165
CWE-590:8,147,1,CWE-590,147,1.0,CWE-590:147
CWE-762:10,129,1,CWE-762,129,1.0,CWE-762:129
CWE-457:9,114,1,CWE-457,114,1.0,CWE-457:114
CWE-122:6|CWE-805:6,106,1,CWE-122,106,1.0,CWE-122:106
CWE-416:9,102,1,CWE-416,102,1.0,CWE-416:102
CWE-122:7|CWE-806:7,101,1,CWE-122,101,1.0,CWE-122:101
CWE-401:9,101,1,CWE-401,101,1.0,CWE-401:101
CWE-415:9,99,1,CWE-415,99,1.0,CWE-415:99
CWE-127:7,89,1,CWE-127,89,1.0,CWE-127:89
CWE-122:7|CWE-193:7,84,1,CWE-122,84,1.0,CWE-122:84
CWE-758:7,83,1,CWE-758,83,1.0,CWE-758:83
CWE-124:7,76,1,CWE-124,76,1.0,CWE-124:76
CWE-401:7,75,1,CWE-401,75,1.0,CWE-401:75
CWE-789:9,73,1,CWE-789,73,1.0,CWE-789:73
CWE-415:7,69,1,CWE-415,69,1.0,CWE-415:69
CWE-122:7,67,1,CWE-122,67,1.0,CWE-122:67
CWE-127:6,63,1,CWE-127,63,1.0,CWE-127:63
CWE-122:6|CWE-806:6,58,1,CWE-122,58,1.0,CWE-122:58
CWE-124:6,58,1,CWE-124,58,1.0,CWE-124:58
CWE-121:4|CWE-805:4,54,1,CWE-121,54,1.0,CWE-121:54
CWE-190:6,54,1,CWE-190,54,1.0,CWE-190:54
CWE-190:1,53,1,CWE-190,53,1.0,CWE-190:53
CWE-789:7,53,1,CWE-789,53,1.0,CWE-789:53
CWE-023:8,52,1,CWE-023,52,1.0,CWE-023:52
CWE-023:10,51,1,CWE-023,51,1.0,CWE-023:51
CWE-126:7,50,1,CWE-126,50,1.0,CWE-126:50
CWE-680:7,49,1,CWE-680,49,1.0,CWE-680:49
CWE-762:13,45,1,CWE-762,45,1.0,CWE-762:45
CWE-762:16,44,1,CWE-762,44,1.0,CWE-762:44
CWE-762:11,43,1,CWE-762,43,1.0,CWE-762:43
CWE-078:4,42,1,CWE-078,42,1.0,CWE-078:42
CWE-122:6|CWE-193:6,42,1,CWE-122,42,1.0,CWE-122:42
CWE-036:8,41,1,CWE-036,41,1.0,CWE-036:41
CWE-036:10,40,1,CWE-036,40,1.0,CWE-036:40
CWE-122:6,40,1,CWE-122,40,1.0,CWE-122:40
CWE-127:4,40,1,CWE-127,40,1.0,CWE-127:40
CWE-191:1,40,1,CWE-191,40,1.0,CWE-191:40
CWE-590:10,40,1,CWE-590,40,1.0,CWE-590:40
CWE-122:9|CWE-129:9,39,1,CWE-122,39,1.0,CWE-122:39
CWE-457:7,39,1,CWE-457,39,1.0,CWE-457:39
CWE-126:6,38,1,CWE-126,38,1.0,CWE-126:38
CWE-680:6,37,1,CWE-680,37,1.0,CWE-680:37
CWE-762:8,36,1,CWE-762,36,1.0,CWE-762:36
CWE-191:6,35,1,CWE-191,35,1.0,CWE-191:35
CWE-190:10,31,1,CWE-190,31,1.0,CWE-190:31
CWE-190:7,31,1,CWE-190,31,1.0,CWE-190:31
CWE-195:4,31,1,CWE-195,31,1.0,CWE-195:31
CWE-134:10,30,1,CWE-134,30,1.0,CWE-134:30
CWE-122:8|CWE-805:8,29,1,CWE-122,29,1.0,CWE-122:29
CWE-416:7,29,1,CWE-416,29,1.0,CWE-416:29
CWE-758:6,29,1,CWE-758,29,1.0,CWE-758:29
CWE-122:7|CWE-129:7,28,1,CWE-122,28,1.0,CWE-122:28
CWE-124:4,28,1,CWE-124,28,1.0,CWE-124:28
CWE-401:10,28,1,CWE-401,28,1.0,CWE-401:28
CWE-078:6,26,1,CWE-078,26,1.0,CWE-078:26
CWE-121:4|CWE-806:4,26,1,CWE-121,26,1.0,CWE-121:26
CWE-194:4,26,1,CWE-194,26,1.0,CWE-194:26
CWE-122:4|CWE-805:4,24,1,CWE-122,24,1.0,CWE-122:24
CWE-134:6,24,1,CWE-134,24,1.0,CWE-134:24
CWE-396:7,24,1,CWE-396,24,1.0,CWE-396:24
CWE-036:9,23,1,CWE-036,23,1.0,CWE-036:23
CWE-121:1|CWE-805:1,23,1,CWE-121,23,1.0,CWE-121:23
CWE-415:10,23,1,CWE-415,23,1.0,CWE-415:23
CWE-078:1,22,1,CWE-078,22,1.0,CWE-078:22
CWE-078:8,22,1,CWE-078,22,1.0,CWE-078:22
CWE-134:1,22,1,CWE-134,22,1.0,CWE-134:22
CWE-197:4,22,1,CWE-197,22,1.0,CWE-197:22
CWE-023:13,21,1,CWE-023,21,1.0,CWE-023:21
CWE-121:4|CWE-193:4,21,1,CWE-121,21,1.0,CWE-121:21
CWE-122:10|CWE-805:10,21,1,CWE-122,21,1.0,CWE-122:21
CWE-124:1,21,1,CWE-124,21,1.0,CWE-124:21
CWE-126:4,21,1,CWE-126,21,1.0,CWE-126:21
CWE-789:10,21,1,CWE-789,21,1.0,CWE-789:21
CWE-023:9,20,1,CWE-023,20,1.0,CWE-023:20
CWE-036:13,20,1,CWE-036,20,1.0,CWE-036:20
CWE-121:6|CWE-805:6,20,1,CWE-121,20,1.0,CWE-121:20
CWE-121:9,20,1,CWE-121,20,1.0,CWE-121:20
CWE-134:7,20,1,CWE-134,20,1.0,CWE-134:20
CWE-191:10,20,1,CWE-191,20,1.0,CWE-191:20
CWE-124:8,19,1,CWE-124,19,1.0,CWE-124:19
CWE-121:4,18,1,CWE-121,18,1.0,CWE-121:18
CWE-191:7,18,1,CWE-191,18,1.0,CWE-191:18
CWE-122:8,17,1,CWE-122,17,1.0,CWE-122:17
CWE-127:1,17,1,CWE-127,17,1.0,CWE-127:17
CWE-195:1,17,1,CWE-195,17,1.0,CWE-195:17
CWE-457:10,17,1,CWE-457,17,1.0,CWE-457:17
CWE-590:4,17,1,CWE-590,17,1.0,CWE-590:17
CWE-590:11,16,1,CWE-590,16,1.0,CWE-590:16
CWE-122:10|CWE-129:10,15,1,CWE-122,15,1.0,CWE-122:15
CWE-122:8|CWE-806:8,15,1,CWE-122,15,1.0,CWE-122:15
CWE-127:8,15,1,CWE-127,15,1.0,CWE-127:15
CWE-194:8,15,1,CWE-194,15,1.0,CWE-194:15
CWE-121:6|CWE-806:6,14,1,CWE-121,14,1.0,CWE-121:14
CWE-690:4,14,1,CWE-690,14,1.0,CWE-690:14
CWE-121:6,13,1,CWE-121,13,1.0,CWE-121:13
CWE-121:6|CWE-193:6,13,1,CWE-121,13,1.0,CWE-121:13
