binary_id,cwe_id,entry_cwe,entry_symbol
BIN_1000013,CWE-590,CWE-590,_ZN54CWE590_Free_Memory_Not_on_Heap__delete_class_static_059entry_badEv
BIN_1000205,CWE-190,,entry_bad
BIN_1000642,CWE-457,,entry_bad
BIN_1001757,CWE-124,CWE-124,_ZN44CWE124_Buffer_Underwrite__new_wchar_t_cpy_179entry_badEv
BIN_1002240,CWE-023,CWE-023,_ZN62CWE23_Relative_Path_Traversal__wchar_t_connect_socket_fopen_099entry_badEv
BIN_1002252,CWE-023,CWE-023,_ZN61CWE23_Relative_Path_Traversal__wchar_t_connect_socket_open_219entry_badEv
BIN_1002364,CWE-191,,entry_bad
BIN_1002432,CWE-134,,entry_bad
BIN_1002707,CWE-590,CWE-590,_ZN58CWE590_Free_Memory_Not_on_Heap__delete_array_int_static_189entry_badEv
BIN_1002928,CWE-789,CWE-789,_ZN56CWE789_Uncontrolled_Mem_Alloc__new_char_listen_socket_179entry_badEv
BIN_1002983,CWE-134,,entry_bad
BIN_1004302,CWE-122,CWE-122,_ZN63CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_wchar_t_memcpy_159entry_badEv
BIN_1004922,CWE-122,CWE-122,_ZN63CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int64_t_memcpy_039entry_badEv
BIN_1004973,CWE-190,,entry_bad
BIN_1005329,CWE-590,CWE-590,_ZN55CWE590_Free_Memory_Not_on_Heap__delete_class_declare_099entry_badEv
BIN_1005703,CWE-681,,entry_bad
BIN_1005754,CWE-023,CWE-023,_ZN58CWE23_Relative_Path_Traversal__char_connect_socket_open_429entry_badEv
BIN_1005924,CWE-191,,entry_bad
BIN_1005992,CWE-253,,entry_bad
BIN_1006216,CWE-121,CWE-121,_ZN68CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_memcpy_339entry_badEv
BIN_1007117,CWE-762,CWE-762,_ZN75CWE762_Mismatched_Memory_Management_Routines__delete_array_class_realloc_449entry_badEv
BIN_1007163,CWE-191,,entry_bad
BIN_1007168,CWE-078,,entry_bad
BIN_1008001,CWE-036,CWE-036,_ZN61CWE36_Absolute_Path_Traversal__char_listen_socket_ofstream_429entry_badEv
BIN_1008501,CWE-195,,entry_bad
BIN_1009046,CWE-121,,entry_bad
BIN_1009819,CWE-078,,entry_bad
BIN_1010144,CWE-457,CWE-457,_ZN67CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_119entry_badEv
BIN_1010276,CWE-127,CWE-127,_ZN40CWE127_Buffer_Underread__new_char_cpy_119entry_badEv
BIN_1010833,CWE-023,CWE-023,_ZN58CWE23_Relative_Path_Traversal__wchar_t_console_ifstream_319entry_badEv
BIN_1011193,CWE-401,CWE-401,_ZN45CWE401_Memory_Leak__new_array_TwoIntsClass_129entry_badEv
BIN_1012117,CWE-457,,entry_bad
BIN_1012298,CWE-126,,entry_bad
BIN_1012424,CWE-415,CWE-415,_ZN38CWE415_Double_Free__new_delete_char_439entry_badEv
BIN_1012979,CWE-122,,entry_bad
BIN_1013101,CWE-191,,entry_bad
BIN_1013518,CWE-078,,entry_bad
BIN_1014290,CWE-191,,entry_bad
BIN_1014470,CWE-762,CWE-762,_ZN71CWE762_Mismatched_Memory_Management_Routines__new_array_free_wchar_t_139entry_badEv
BIN_1015095,CWE-122,CWE-122,_ZN58CWE122_Heap_Based_Buffer_Overflow__cpp_CWE806_char_ncat_109entry_badEv
BIN_1015900,CWE-789,CWE-789,_ZN48CWE789_Uncontrolled_Mem_Alloc__new_char_fgets_419entry_badEv
BIN_1016030,CWE-122,CWE-122,_ZN63CWE122_Heap_Based_Buffer_Overflow__cpp_CWE806_wchar_t_memcpy_049entry_badEv
BIN_1016340,CWE-121,,entry_bad
BIN_1016844,CWE-126,,entry_bad
BIN_1017197,CWE-191,,entry_bad
BIN_1017307,CWE-127,CWE-127,_ZN44CWE127_Buffer_Underread__new_wchar_t_loop_459entry_badEv
BIN_1017580,CWE-121,,entry_bad
BIN_1017916,CWE-078,,entry_bad
BIN_1018999,CWE-252,,entry_bad
BIN_1019216,CWE-191,,entry_bad
BIN_1019770,CWE-377,,entry_bad
BIN_1020090,CWE-415,,entry_bad
BIN_1021032,CWE-252,,entry_bad
BIN_1021158,CWE-121,,entry_bad
BIN_1021385,CWE-401,CWE-401,_ZN34CWE401_Memory_Leak__new_int64_t_079entry_badEv
BIN_1021625,CWE-563,,entry_bad
BIN_1022315,CWE-789,,entry_bad
BIN_1022476,CWE-124,,entry_bad
BIN_1022721,CWE-127,,entry_bad
BIN_1023470,CWE-789,,entry_bad
BIN_1023583,CWE-124,CWE-124,_ZN44CWE124_Buffer_Underwrite__new_char_memcpy_149entry_badEv
BIN_1024166,CWE-762,CWE-762,_ZN65CWE762_Mismatched_Memory_Management_Routines__new_free_wchar_t_429entry_badEv
BIN_1024423,CWE-761,,entry_bad
BIN_1024743,CWE-401,,entry_bad
BIN_1026347,CWE-122,,entry_bad
BIN_1026531,CWE-416,,entry_bad
BIN_1026563,CWE-023,CWE-023,_ZN62CWE23_Relative_Path_Traversal__wchar_t_environment_ifstream_049entry_badEv
BIN_1027027,CWE-401,,entry_bad
BIN_1027529,CWE-078,,entry_bad
BIN_1027918,CWE-191,,entry_bad
BIN_1027929,CWE-194,,entry_bad
BIN_1028132,CWE-762,CWE-762,_ZN76CWE762_Mismatched_Memory_Management_Routines__delete_array_wchar_t_malloc_019entry_badEv
BIN_1028617,CWE-036,CWE-036,_ZN58CWE36_Absolute_Path_Traversal__wchar_t_console_ifstream_079entry_badEv
BIN_1029544,CWE-190,,entry_bad
BIN_1030402,CWE-476,,entry_bad
BIN_1030655,CWE-400,,entry_bad
BIN_1031839,CWE-191,,entry_bad
BIN_1032537,CWE-126,,entry_bad
BIN_1032630,CWE-191,,entry_bad
BIN_1032916,CWE-590,CWE-590,_ZN55CWE590_Free_Memory_Not_on_Heap__delete_class_declare_189entry_badEv
BIN_1033269,CWE-135,,entry_bad
BIN_1034376,CWE-415,CWE-415,_ZN47CWE415_Double_Free__new_delete_array_int64_t_129entry_badEv
BIN_1034825,CWE-590,CWE-590,_ZN63CWE590_Free_Memory_Not_on_Heap__delete_wchar_t_placement_new_119entry_badEv
BIN_1035749,CWE-762,CWE-762,_ZN74CWE762_Mismatched_Memory_Management_Routines__delete_array_char_realloc_019entry_badEv
BIN_1036310,CWE-401,,entry_bad
BIN_1037447,CWE-191,,entry_bad
BIN_1039714,CWE-546,,entry_bad
BIN_1039907,CWE-191,,entry_bad
BIN_1040842,CWE-134,,entry_bad
BIN_1041067,CWE-078,CWE-078,_ZN56CWE78_OS_Command_Injection__char_listen_socket_execlp_339entry_badEv
BIN_1041074,CWE-126,,entry_bad
BIN_1041241,CWE-191,,entry_bad
BIN_1041731,CWE-758,,entry_bad
BIN_1041840,CWE-126,,entry_bad
BIN_1042005,CWE-590,,entry_bad
BIN_1042303,CWE-078,,entry_bad
BIN_1042376,CWE-191,,entry_bad
BIN_1043115,CWE-122,CWE-122,_ZN57CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int_loop_089entry_badEv
BIN_1044128,CWE-127,,entry_bad
BIN_1044337,CWE-190,,entry_bad
BIN_1044689,CWE-127,,entry_bad
BIN_1045622,CWE-036,CWE-036,_ZN61CWE36_Absolute_Path_Traversal__char_listen_socket_ofstream_049entry_badEv
BIN_1045988,CWE-789,,entry_bad
BIN_1046004,CWE-078,,entry_bad
BIN_1047224,CWE-680,CWE-680,_ZN57CWE680_Integer_Overflow_to_Buffer_Overflow__new_fscanf_189entry_badEv
BIN_1047242,CWE-690,,entry_bad
BIN_1049157,CWE-369,,entry_bad
BIN_1051119,CWE-126,,entry_bad
BIN_1051314,CWE-121,,entry_bad
BIN_1051569,CWE-127,CWE-127,_ZN46CWE127_Buffer_Underread__new_wchar_t_memcpy_419entry_badEv
BIN_1051739,CWE-191,,entry_bad
BIN_1051810,CWE-762,CWE-762,_ZN65CWE762_Mismatched_Memory_Management_Routines__new_free_wchar_t_049entry_badEv
BIN_1051910,CWE-126,,entry_bad
BIN_1052064,CWE-762,CWE-762,_ZN67CWE762_Mismatched_Memory_Management_Routines__delete_int_realloc_129entry_badEv
BIN_1052634,CWE-758,,entry_bad
BIN_1052763,CWE-190,,entry_bad
BIN_1053932,CWE-190,,entry_bad
BIN_1053941,CWE-762,CWE-762,_ZN76CWE762_Mismatched_Memory_Management_Routines__delete_array_int64_t_calloc_319entry_badEv
BIN_1054347,CWE-127,,entry_bad
BIN_1054468,CWE-190,,entry_bad
BIN_1054653,CWE-762,CWE-762,_ZN69CWE762_Mismatched_Memory_Management_Routines__new_array_free_class_079entry_badEv
BIN_1054821,CWE-122,,entry_bad
BIN_1055353,CWE-191,,entry_bad
BIN_1056774,CWE-023,CWE-023,_ZN62CWE23_Relative_Path_Traversal__wchar_t_environment_ifstream_419entry_badEv
BIN_1056861,CWE-134,,entry_bad
BIN_1056994,CWE-390,,entry_bad
BIN_1057159,CWE-590,CWE-590,_ZN52CWE590_Free_Memory_Not_on_Heap__delete_int_alloca_039entry_badEv
BIN_1057307,CWE-590,CWE-590,_ZN60CWE590_Free_Memory_Not_on_Heap__delete_array_long_declare_069entry_badEv
BIN_1057827,CWE-606,,entry_bad
BIN_1057890,CWE-369,,entry_bad
BIN_1057929,CWE-121,,entry_bad
BIN_1058264,CWE-190,,entry_bad
BIN_1058632,CWE-681,,entry_bad
BIN_1058787,CWE-036,CWE-036,_ZN52CWE36_Absolute_Path_Traversal__wchar_t_file_fopen_459entry_badEv
BIN_1058989,CWE-190,,entry_bad
BIN_1059102,CWE-762,CWE-762,_ZN71CWE762_Mismatched_Memory_Management_Routines__new_array_free_int64_t_329entry_badEv
BIN_1059220,CWE-415,,entry_bad
BIN_1059883,CWE-078,,entry_bad
BIN_1060234,CWE-758,,entry_bad
BIN_1060280,CWE-680,,entry_bad
BIN_1060543,CWE-415,CWE-415,_ZN44CWE415_Double_Free__new_delete_array_char_019entry_badEv
BIN_1060928,CWE-023,CWE-023,_ZN52CWE23_Relative_Path_Traversal__char_file_ifstream_039entry_badEv
BIN_1061431,CWE-124,CWE-124,_ZN41CWE124_Buffer_Underwrite__new_char_cpy_099entry_badEv
BIN_1061957,CWE-416,CWE-416,_ZN43CWE416_Use_After_Free__new_delete_struct_189entry_badEv
BIN_1062921,CWE-606,,entry_bad
BIN_1063113,CWE-457,,entry_bad
BIN_1063238,CWE-195,,entry_bad
BIN_1063448,CWE-127,,entry_bad
BIN_1063554,CWE-191,,entry_bad
BIN_1063604,CWE-404,CWE-404,_ZN49CWE404_Improper_Resource_Shutdown__open_fclose_439entry_badEv
BIN_1065066,CWE-121,,entry_bad
BIN_1065264,CWE-590,CWE-590,_ZN52CWE590_Free_Memory_Not_on_Heap__delete_int_static_059entry_badEv
BIN_1065639,CWE-590,CWE-590,_ZN61CWE590_Free_Memory_Not_on_Heap__delete_class_placement_new_069entry_badEv
BIN_1066085,CWE-122,,entry_bad
BIN_1066437,CWE-415,CWE-415,_ZN46CWE415_Double_Free__new_delete_array_struct_169entry_badEv
BIN_1066628,CWE-121,CWE-121,_ZN63CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cat_339entry_badEv
BIN_1068471,CWE-762,CWE-762,_ZN70CWE762_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_449entry_badEv
BIN_1069809,CWE-126,,entry_bad
BIN_1069899,CWE-122,,entry_bad
BIN_1071698,CWE-197,,entry_bad
BIN_1071851,CWE-665,,entry_bad
BIN_1072581,CWE-369,,entry_bad
BIN_1072735,CWE-416,CWE-416,_ZN46CWE416_Use_After_Free__new_delete_array_int_159entry_badEv
BIN_1073473,CWE-134,CWE-134,_ZN65CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_439entry_badEv
BIN_1073490,CWE-590,CWE-590,_ZN53CWE590_Free_Memory_Not_on_Heap__delete_int_declare_349entry_badEv
BIN_1073572,CWE-121,,entry_bad
BIN_1073817,CWE-685,,entry_bad
BIN_1074006,CWE-190,,entry_bad
BIN_1074390,CWE-190,,entry_bad
BIN_1074985,CWE-122,,entry_bad
