left_sid,left_cwe,left_split,left_bid,right_sid,right_cwe,right_split,right_bid,gap
392,CWE-121,train,BIN_5087643,408,CWE-135,test,BIN_8950290,16
504,CWE-126,test,BIN_8249526,505,CWE-121,train,BIN_2692299,1
505,CWE-121,train,BIN_2692299,506,CWE-126,test,BIN_3049998,1
511,CWE-126,test,BIN_8681591,512,CWE-121,train,BIN_7110241,1
512,CWE-121,train,BIN_7110241,513,CWE-126,test,BIN_6545696,1
517,CWE-126,test,BIN_3790413,518,CWE-121,train,BIN_8719707,1
519,CWE-121,train,BIN_3350323,520,CWE-126,test,BIN_8264883,1
525,CWE-126,test,BIN_2254329,526,CWE-121,train,BIN_2693860,1
531,CWE-126,test,BIN_5720554,532,CWE-121,test,BIN_6516479,1
4912,CWE-121,train,BIN_2813467,4913,CWE-126,test,BIN_1812963,1
4915,CWE-126,train,BIN_3772631,4916,CWE-121,test,BIN_1455492,1
4918,CWE-121,train,BIN_8878834,4919,CWE-126,test,BIN_4577138,1
4942,CWE-121,train,BIN_2449103,4943,CWE-126,test,BIN_2334733,1
4960,CWE-122,train,BIN_9870703,4961,CWE-126,test,BIN_6244783,1
4966,CWE-126,test,BIN_4860053,4967,CWE-122,train,BIN_2890346,1
4967,CWE-122,train,BIN_2890346,4968,CWE-126,test,BIN_8227758,1
4976,CWE-122,train,BIN_4485257,4977,CWE-126,test,BIN_4280528,1
7840,CWE-122,test,BIN_3181278,7860,CWE-135,test,BIN_9837273,20
7888,CWE-135,train,BIN_2637822,7908,CWE-122,test,BIN_2597033,20
10833,CWE-126,train,BIN_9832796,10834,CWE-122,test,BIN_4198219,1
10837,CWE-126,train,BIN_1752079,10838,CWE-122,test,BIN_1938615,1
10844,CWE-122,test,BIN_4942051,10845,CWE-126,train,BIN_2396068,1
10850,CWE-126,test,BIN_9335771,10851,CWE-122,train,BIN_8437590,1
10854,CWE-122,train,BIN_1260116,10855,CWE-126,test,BIN_4025173,1
10990,CWE-123,test,BIN_7827710,11010,CWE-124,train,BIN_8206923,20
16542,CWE-127,train,BIN_5203400,16558,CWE-134,test,BIN_9514021,16
18938,CWE-134,test,BIN_1371931,18958,CWE-188,test,BIN_3918710,20
18993,CWE-188,test,BIN_1282514,18994,CWE-190,test,BIN_1606490,1
22942,CWE-190,train,BIN_3168527,22954,CWE-191,test,BIN_6848141,12
25894,CWE-191,test,BIN_7005351,25906,CWE-194,test,BIN_1445445,12
27038,CWE-194,train,BIN_1293310,27058,CWE-195,test,BIN_6330929,20
28227,CWE-196,test,BIN_3124360,28228,CWE-197,train,BIN_1382028,1
29072,CWE-197,test,BIN_1801347,29092,CWE-023,test,BIN_8386492,20
30992,CWE-023,test,BIN_3198952,31012,CWE-242,test,BIN_2150059,20
31569,CWE-252,test,BIN_4198849,31570,CWE-253,train,BIN_7568004,1
32199,CWE-367,test,BIN_4199403,32200,CWE-369,test,BIN_2660949,1
33044,CWE-369,train,BIN_8203602,33064,CWE-036,test,BIN_6203055,20
35091,CWE-377,train,BIN_7712857,35092,CWE-390,test,BIN_9273197,1
35181,CWE-390,test,BIN_6066650,35182,CWE-391,test,BIN_2011998,1
35235,CWE-391,train,BIN_6027412,35236,CWE-396,test,BIN_7681509,1
35289,CWE-396,test,BIN_7190407,35291,CWE-397,train,BIN_4451059,2
35489,CWE-398,test,BIN_3372307,35490,CWE-400,test,BIN_8921984,1
37848,CWE-401,test,BIN_2991691,37868,CWE-404,test,BIN_8832271,20
37896,CWE-404,test,BIN_6299331,37916,CWE-415,train,BIN_2859427,20
38856,CWE-415,train,BIN_5413750,38878,CWE-416,test,BIN_3297563,22
39509,CWE-426,test,BIN_1394325,39529,CWE-427,train,BIN_8147837,20
39989,CWE-427,test,BIN_3475625,40010,CWE-457,train,BIN_6134162,21
40954,CWE-457,test,BIN_9426721,40958,CWE-459,train,BIN_8225696,4
40993,CWE-459,train,BIN_4599756,40994,CWE-464,test,BIN_4184059,1
41022,CWE-464,test,BIN_1593911,41042,CWE-467,train,BIN_6335228,20
41132,CWE-468,train,BIN_1492244,41133,CWE-469,test,BIN_6537894,1
41570,CWE-478,test,BIN_5091731,41571,CWE-479,test,BIN_5502682,1
41588,CWE-479,train,BIN_5739603,41589,CWE-480,test,BIN_5474899,1
41606,CWE-480,test,BIN_4967771,41607,CWE-481,train,BIN_9654614,1
41624,CWE-481,train,BIN_6664466,41625,CWE-482,test,BIN_3584569,1
41662,CWE-483,test,BIN_4390572,41663,CWE-484,train,BIN_9717506,1
41680,CWE-484,test,BIN_8083459,41716,CWE-510,train,BIN_8894828,36
41839,CWE-511,test,BIN_4560044,41840,CWE-526,test,BIN_3012821,1
41857,CWE-526,test,BIN_8556812,41858,CWE-546,train,BIN_9430159,1
41949,CWE-561,test,BIN_1574217,41950,CWE-562,test,BIN_3711506,1
41952,CWE-562,test,BIN_3228938,41955,CWE-563,test,BIN_9428082,3
42496,CWE-571,train,BIN_9702897,42497,CWE-587,test,BIN_4865561,1
42514,CWE-587,train,BIN_8795417,42515,CWE-588,test,BIN_8596009,1
46252,CWE-665,test,BIN_4526444,46272,CWE-666,train,BIN_7511557,20
46407,CWE-672,train,BIN_7635740,46427,CWE-674,test,BIN_8585579,20
46553,CWE-675,test,BIN_5918531,46573,CWE-676,test,BIN_2861522,20
47147,CWE-680,test,BIN_2519261,47167,CWE-681,train,BIN_4505205,20
47220,CWE-681,test,BIN_5190087,47221,CWE-685,train,BIN_4248613,1
47238,CWE-685,test,BIN_5472113,47239,CWE-688,test,BIN_5812351,1
48149,CWE-690,train,BIN_5155602,48169,CWE-758,test,BIN_7613973,20
49302,CWE-761,test,BIN_4550753,49324,CWE-762,train,BIN_5589622,22
52866,CWE-762,test,BIN_6406922,52886,CWE-773,test,BIN_8628679,20
52962,CWE-773,test,BIN_2338043,52982,CWE-775,train,BIN_2677377,20
54018,CWE-789,test,BIN_5756538,54038,CWE-078,test,BIN_1802324,20
55938,CWE-078,test,BIN_9986146,55976,CWE-835,train,BIN_4269966,38
55981,CWE-835,test,BIN_8993957,55982,CWE-843,train,BIN_4568804,1
