binary_id,kind,embedded_label,submission_label,diff
BIN_1000102,wrapper,1,1,False
BIN_1001269,wrapper,1,1,False
BIN_1003036,wrapper,1,1,False
BIN_1005429,wrapper,0,0,False
BIN_1005734,wrapper,0,0,False
BIN_1006630,wrapper,1,1,False
BIN_1006899,injected,1,1,False
BIN_1007105,wrapper,1,1,False
BIN_1008650,injected,0,0,False
BIN_1009217,wrapper,1,1,False
BIN_1011294,injected,1,1,False
BIN_1011823,injected,1,1,False
BIN_1011831,wrapper,0,0,False
BIN_1012577,wrapper,0,0,False
BIN_1012696,wrapper,0,0,False
BIN_1012998,wrapper,0,0,False
BIN_1013312,wrapper,0,0,False
BIN_1014718,injected,1,1,False
BIN_1015723,injected,1,1,False
BIN_1016165,wrapper,0,0,False
BIN_1016654,wrapper,0,0,False
BIN_1016785,injected,0,0,False
BIN_1016836,injected,0,0,False
BIN_1017409,wrapper,0,0,False
BIN_1018063,wrapper,0,0,False
BIN_1018182,injected,1,1,False
BIN_1019389,injected,1,1,False
BIN_1019417,wrapper,0,0,False
BIN_1019511,wrapper,0,0,False
BIN_1019610,wrapper,0,0,False
BIN_1020865,wrapper,1,1,False
BIN_1021164,wrapper,1,1,False
BIN_1022516,wrapper,0,0,False
BIN_1022986,wrapper,0,0,False
BIN_1023895,injected,1,1,False
BIN_1024017,wrapper,0,0,False
BIN_1024189,wrapper,1,1,False
BIN_1025217,injected,0,0,False
BIN_1026686,wrapper,1,1,False
BIN_1027553,wrapper,0,0,False
BIN_1027831,wrapper,1,1,False
BIN_1027931,injected,1,1,False
BIN_1028142,injected,0,0,False
BIN_1028430,injected,1,1,False
BIN_1028789,wrapper,1,1,False
BIN_1029020,injected,0,0,False
BIN_1029330,wrapper,1,1,False
BIN_1030556,injected,1,1,False
BIN_1031141,wrapper,0,0,False
BIN_1031472,wrapper,1,1,False
BIN_1031876,wrapper,1,1,False
BIN_1032012,wrapper,0,0,False
BIN_1034291,wrapper,0,0,False
BIN_1034916,wrapper,1,1,False
BIN_1035625,wrapper,1,1,False
BIN_1036474,wrapper,0,0,False
BIN_1036634,injected,0,0,False
BIN_1036636,wrapper,0,0,False
BIN_1036896,injected,1,1,False
BIN_1036975,injected,1,1,False
BIN_1037216,wrapper,1,1,False
BIN_1038078,injected,1,1,False
BIN_1038175,wrapper,0,0,False
BIN_1038778,wrapper,0,0,False
BIN_1039973,injected,0,0,False
BIN_1041065,wrapper,1,1,False
BIN_1041088,injected,1,1,False
BIN_1042775,wrapper,1,1,False
BIN_1042834,injected,0,0,False
BIN_1043151,wrapper,0,0,False
BIN_1043309,injected,1,1,False
BIN_1043348,wrapper,1,1,False
BIN_1044251,injected,1,1,False
BIN_1045686,wrapper,0,0,False
BIN_1045974,wrapper,0,0,False
BIN_1046795,wrapper,1,1,False
BIN_1046849,injected,0,0,False
BIN_1047207,wrapper,0,0,False
BIN_1048036,injected,0,0,False
BIN_1049149,injected,1,1,False
BIN_1050911,injected,0,0,False
BIN_1051226,wrapper,0,0,False
BIN_1051233,wrapper,0,0,False
BIN_1051258,wrapper,1,1,False
BIN_1052196,wrapper,1,1,False
BIN_1052467,injected,1,1,False
BIN_1053289,wrapper,0,0,False
BIN_1053585,wrapper,0,0,False
BIN_1053612,wrapper,0,0,False
BIN_1053756,injected,0,0,False
BIN_1054194,injected,1,1,False
BIN_1054379,wrapper,1,1,False
BIN_1054623,wrapper,0,0,False
BIN_1055206,injected,1,1,False
BIN_1056899,injected,1,1,False
BIN_1056970,injected,1,1,False
BIN_1057020,wrapper,0,0,False
BIN_1057451,injected,1,1,False
BIN_1058226,wrapper,0,0,False
BIN_1058354,injected,0,0,False
BIN_1059128,wrapper,0,0,False
BIN_1059872,injected,0,0,False
BIN_1062149,wrapper,0,0,False
